Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,L_F,L_F_max,drag,tilt
0,NaN,1.73,0.99,0.56,1.31,1.37,0.75,0.42,2.73,1.58,0.65,0.43,1.5,3.7,3.68,47
100,NaN,1.73,0.99,0.56,1.31,1.37,0.75,0.42,2.73,1.58,0.65,0.43,1.5,3.7,3.68,47
