Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,L_F,L_F_max,drag,tilt
0,3.68,NaN,NaN,1.06,5.61,2.19,1.94,0.86,5.82,4.59,2.17,1.24,3.4,7.3,2.96,56.8
100,3.68,NaN,NaN,1.06,5.61,2.19,1.94,0.86,5.82,4.59,2.17,1.24,3.4,7.3,2.96,56.8
