Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,L_F,L_F_max,drag,tilt
0,3.34,1.84,1.25,0.67,1.29,1.13,0.53,0.26,2.30,1.34,0.79,0.59,2.1,4.6,3.77,49.8
100,3.34,1.84,1.25,0.67,1.29,1.13,0.53,0.26,2.30,1.34,0.79,0.59,2.1,4.6,3.77,49.8
