Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,L_F,L_F_max,drag,tilt
0,1.63,1.27,NaN,0.72,1.53,1.29,NaN,0.4,1.87,1.42,1.25,0.88,0.76,2.1,5.3,4.23,55.7
100,1.63,1.27,NaN,0.72,1.53,1.29,NaN,0.4,1.87,1.42,1.25,0.88,0.76,2.1,5.3,4.23,55.7
