m,kW/m2,m,kW/m2,m,kW/m2
r-up,Upwind,r-lat,Lateral,r-down,Downwind
13.00,5.52,20.33,4.30,14.99,7.83
18.97,NaN,23.82,4.01,18.97,4.96
26.95,1.70,27.81,1.86,26.95,2.51
NaN,NaN,NaN,NaN,26.96,2.39
