Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,L_F
0,1.62,0.26,NaN,0.86,2.58,2.17,1.73,0.76,1.76,1.33,1.11,0.79,0.66,3.3
100,1.62,0.26,NaN,0.86,2.58,2.17,1.73,0.76,1.76,1.33,1.11,0.79,0.66,3.3
