m,kW/m2,m,kW/m2,m,kW/m2
r-down,Downwind,r-lat,Lateral,r-up,Upwind
11.51,NaN,10.66,1.31,6.58,2.73
14.49,1.73,13.63,1.37,9.53,1.58
18.47,0.99,17.61,0.75,13.49,0.65
24.46,0.56,21.60,0.42,18.47,0.43
