Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11B,P11L,L_F,L_F_max,drag,tilt
0,5.52,NaN,1.70,3.93,1.90,4.30,4.01,1.86,7.83,4.96,2.51,2.39,4.4,8.9,2.57,56.3
100,5.52,NaN,1.70,3.93,1.90,4.30,4.01,1.86,7.83,4.96,2.51,2.39,4.4,8.9,2.57,56.3
