Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11B,P11L,P12,P13,L_F,L_F_max,drag,tilt
0,3.87,1.55,0.94,0.62,4.37,2.30,1.63,0.97,5.55,3.03,1.18,1.52,0.87,0.51,4.2,8.2,2.96,60.5
100,3.87,1.55,0.94,0.62,4.37,2.30,1.63,0.97,5.55,3.03,1.18,1.52,0.87,0.51,4.2,8.2,2.96,60.5
