Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11B,P11L,L_F,L_F_max,drag,tilt
0,10.30,NaN,1.74,5.82,4.70,2.50,6.32,7.20,12.19,8.12,4.95,4.83,7.1,11.4,1.21,45.2
100,10.30,NaN,1.74,5.82,4.70,2.50,6.32,7.20,12.19,8.12,4.95,4.83,7.1,11.4,1.21,45.2
