m,kW/m2,m,kW/m2,m,kW/m2
r-up,Upwind,r-lat,Lateral,r-down,Downwind
13.47,1.63,18.61,1.53,15.46,1.87
15.46,1.27,20.60,1.29,17.45,1.42
17.95,NaN,21.60,NaN,19.45,1.25
20.45,0.72,23.60,0.40,21.44,0.88
NaN,NaN,NaN,NaN,24.44,0.76
