North_Height,North_Flux,South_Height,South_Flux
15.0,213.0,15.0,150.3
30.0,219.2,30.0,181.5
55.0,236.5,55.0,200.3
85.0,NaN,85.0,217.1
120.0,NaN,120.0,NaN
120.0,245.2,120.0,NaN
120.0,238.0,120.0,NaN

