Pos-North-Wide,North-Wide,Pos-East-Wide,East-Wide,Pos-South-Wide,South-Wide,Pos-West-Wide,West-Wide
128.6,1.9,108.2,3.3,92.0,5.0,112.4,3.6
178.5,1.1,157.4,1.4,141.2,1.9,162.3,1.5
228.3,0.6,207.3,0.9,191.1,1.0,212.1,0.8
