Time (s),Line 2,Line 6,Line 10
0,18.30985915,18.30985915,18.30985915
60,16.72141489,17.15443495,18.48888005
120,19.91525374,18.29098794,18.48051432
180,28.35168527,22.52131841,20.04891599
240,42.49101906,30.64722662,24.95823905
300,62.78855245,43.47051285,34.97263751
360,89.06373739,61.68052756,51.84952423
420,119.8850023,84.87211898,75.68767119
480,153.6746165,112.0231924,102.765762
540,188.4236768,141.4122873,129.34066
600,220.7462938,169.1065475,153.3112056
660,246.9822845,190.7397605,172.9033185
720,263.5513695,204.2547495,186.5106263
780,270.4391385,213.1831909,194.6657169
840,272.5483306,220.5112495,199.3767366
900,275.1406217,227.0112082,202.6810985
960,283.0451968,233.2560797,206.6162158
1020,296.286295,239.8188767,213.2195016
1080,311.8907891,247.2691436,224.3951115
1140,326.8400098,255.9121496,239.7581913
1200,338.1152875,265.607472,256.9975316
1260,344.4114624,276.1718008,273.741873
1320,353.0253973,287.4218255,287.619956
1380,373.7838906,299.1742361,296.2605214
1440,401.9276295,311.1169502,297.2923097
1500,409.129331,321.8345582,288.4231569
1560,438.8100284,334.7971024,292.902766
1620,582.83244,384.108537,370.4388519
1680,740.4587801,524.1197183,427.9929577
1740,927.91703,732.016716,473.2277275
1800,793.4439388,997.5008081,820.9437214
1860,652.9409691,829.7349012,904.9709312
1920,619.2770873,717.0547373,982.8661187
1980,608.0714951,726.7314348,971.0686435
2040,611.0213925,729.480702,974.0281026
2100,606.4076405,724.3407961,995.7841882
2160,596.9126062,724.7241044,1033.476736
2220,597.3644849,733.7614927,1065.89754
2280,606.6578574,746.7473148,1083.050358
2340,620.4535308,759.1923021,1096.717105
2400,634.4598257,770.9042228,1117.039735
2460,646.5054431,784.2387992,1125.731547
2520,657.3429791,801.5677041,1118.498243
2580,667.9384657,823.4159388,1118.669357
2640,679.2569908,846.8583489,1132.41827
2700,691.8490326,868.591769,1137.445728
2760,705.2020769,885.3130335,1133.916988
2820,718.635642,893.7628436,1126.382408
