?M,zf/u* Schumann/Graf
0.964885496,0.01740458
0.974045802,0.018015267
0.983206107,0.018167939
0.989312977,0.01648855
1.004580153,0.018167939
1.004580153,0.004274809
1.013740458,0.015572519
1.022900763,0.018473282
1.047328244,0.01480916
1.047328244,0.004732824
1.065648855,0.019694656
1.06870229,0.004732824
1.080916031,0.014045802
1.083969466,0.020152672
1.096183206,0.00519084
1.108396947,0.013587786
1.129770992,0.013282443
1.132824427,0.005801527
1.138931298,0.020763359
1.141984733,0.012671756
1.141984733,0.005954198
1.166412214,0.021984733
1.166412214,0.006259542
1.18778626,0.011908397
1.19389313,0.006564885
1.209160305,0.02259542
1.209160305,0.01129771
1.215267176,0.023206107
1.218320611,0.007175573
1.227480916,0.010839695
1.236641221,0.010839695
1.242748092,0.007175573
1.261068702,0.02351145
1.270229008,0.009923664
1.270229008,0.007480916
1.291603053,0.009465649
1.294656489,0.024274809
1.303816794,0.008091603
1.306870229,0.009007634
1.33129771,0.00870229
1.340458015,0.02519084
1.361832061,0.025954198
1.367938931,0.028396947
1.367938931,0.027175573
1.370992366,0.073282443
1.370992366,0.07221374
1.370992366,0.070076336
1.370992366,0.068396947
1.374045802,0.08610687
1.374045802,0.084122137
1.374045802,0.081526718
1.377099237,0.075572519
1.380152672,0.079389313
1.380152672,0.077557252
1.383206107,0.088854962
1.383206107,0.067480916
1.383206107,0.030839695
1.386259542,0.066412214
1.389312977,0.033282443
1.395419847,0.091145038
1.398473282,0.064274809
1.404580153,0.034961832
1.407633588,0.062442748
1.410687023,0.093587786
1.413740458,0.03740458
1.422900763,0.099694656
1.422900763,0.098167939
1.422900763,0.096183206
1.422900763,0.060916031
1.432061069,0.039083969
1.435114504,0.059389313
1.450381679,0.057862595
1.450381679,0.041068702
1.45648855,0.042290076
1.459541985,0.056183206
1.46870229,0.044274809
1.477862595,0.05389313
1.477862595,0.046412214
1.487022901,0.052671756
1.487022901,0.047938931
1.490076336,0.051145038
