u2/u2*,zf/u* Andren/Moeng
-0.012012012,0.344175492
-0.012012012,0.347881997
-0.012012012,0.331996974
-0.012012012,0.310816944
-2.08E-17,0.297579425
0.036036036,0.283282905
0.06006006,0.261573374
0.06006006,0.243040847
0.084084084,0.222390318
0.108108108,0.194856278
0.18018018,0.173676248
0.204204204,0.15408472
0.252252252,0.129198185
0.252252252,0.117019667
0.288288288,0.097428139
0.348348348,0.079425113
0.42042042,0.348940998
0.432432432,0.340468986
0.432432432,0.333055976
0.444444444,0.32193646
0.456456456,0.062481089
0.48048048,0.312405446
0.492492492,0.305521936
0.516516517,0.295461422
0.540540541,0.050832073
0.564564565,0.285400908
0.612612613,0.276399395
0.660660661,0.26633888
0.672672673,0.043419062
0.708708709,0.259455371
0.756756757,0.250453858
0.828828829,0.240393343
0.876876877,0.032299546
0.900900901,0.229273828
0.948948949,0.218683812
1.021021021,0.027534039
1.069069069,0.207564297
1.117117117,0.199092284
1.189189189,0.023827534
1.249249249,0.190090772
1.333333333,0.179500756
1.333333333,0.019591528
1.429429429,0.172617247
1.501501502,0.015885023
1.513513514,0.162556732
1.585585586,0.011119516
1.60960961,0.157791225
1.693693694,0.006354009
1.741741742,0.150907716
1.897897898,0.144024206
1.897897898,0.005295008
1.993993994,0.005295008
2.006006006,0.136081694
2.15015015,0.129198185
2.258258258,0.123373676
2.426426426,0.115960666
2.558558559,0.111195159
2.702702703,0.103782148
2.858858859,0.09795764
3.027027027,0.092133132
3.291291291,0.087367625
3.435435435,0.08366112
3.567567568,0.003706505
3.663663664,0.079425113
3.771771772,0.004236006
3.843843844,0.005824508
3.867867868,0.074130106
4.036036036,0.007413011
4.072072072,0.070423601
4.324324324,0.065128593
4.348348348,0.007942511
4.408408408,0.009531014
4.552552553,0.010060514
4.588588589,0.061422088
4.696696697,0.011649017
4.804804805,0.056656581
4.840840841,0.013237519
4.972972973,0.055597579
4.984984985,0.015355522
5.165165165,0.016414523
5.189189189,0.051361573
5.309309309,0.018003026
5.381381381,0.048184569
5.513513514,0.019591528
5.621621622,0.021709531
5.645645646,0.043948563
5.813813814,0.024886536
5.885885886,0.039712557
5.933933934,0.026475038
5.993993994,0.032299546
5.993993994,0.028593041
