v2/u2*,zf/u* SGS part
0.005943536,0.001068702
0.029717682,0.319007634
0.029717682,0.312061069
0.029717682,0.305114504
0.029717682,0.292824427
0.029717682,0.285877863
0.029717682,0.276793893
0.035661218,0.35
0.035661218,0.335038168
0.035661218,0.32648855
0.041604755,0.341984733
0.047548291,0.266641221
0.047548291,0.259694656
0.053491828,0.244198473
0.0653789,0.231374046
0.0653789,0.217480916
0.089153046,0.203587786
0.089153046,0.002137405
0.095096582,0.189694656
0.101040119,0.181679389
0.106983655,0.174198473
0.106983655,0.162442748
0.130757801,0.148549618
0.14858841,0.138396947
0.166419019,0.12610687
0.172362556,0.114351145
0.184249629,0.001068702
0.219910847,0.103129771
0.23179792,0.089236641
0.279346211,0.080687023
0.29717682,0.072671756
0.332838039,0.001068702
0.356612184,0.064122137
0.404160475,0.053969466
0.487369985,0.001068702
0.493313522,0.042748092
0.552748886,0.037938931
0.552748886,0.001068702
0.630014859,0.03259542
0.635958395,0.001068702
0.701337296,0.001068702
0.725111441,0.028320611
0.808320951,0.001068702
0.820208024,0.025648855
0.885586924,0.001068702
0.90936107,0.022442748
0.992570579,0.001603053
1.016344725,0.021374046
1.099554235,0.001603053
1.14115899,0.018167939
1.153046062,0.001603053
1.224368499,0.001068702
1.242199108,0.016030534
1.301634473,0.002137405
1.331352155,0.014961832
1.456166419,0.013358779
1.468053492,0.002137405
1.527488856,0.013358779
1.569093611,0.002137405
1.628528975,0.013358779
1.705794948,0.001603053
1.741456166,0.011755725
1.842496285,0.011755725
1.943536404,0.002137405
1.949479941,0.002137405
1.96731055,0.011755725
2.03268945,0.002137405
2.062407132,0.009083969
2.187221397,0.007480916
2.288261516,0.003206107
2.294205052,0.006412214
2.335809807,0.003206107
2.401188707,0.008015267
2.502228826,0.008015267
2.526002972,0.002671756
2.585438336,0.002671756
2.638930163,0.006946565
2.674591382,0.003206107
2.722139673,0.00480916
2.835066865,0.005877863
2.864784547,0.003206107
2.882615156,0.005343511
2.912332838,0.003206107
2.965824666,0.005343511
3.019316493,0.005877863
3.078751857,0.005343511
