w2/u2*,"zf/u* Mason/Brown,bsct"
0.004497751,0.345763994
0.017991004,0.323524962
0.017991004,0.333055976
0.017991004,0.342057489
0.017991004,0.348940998
0.022488756,0.338880484
0.031484258,0.312934947
0.044977511,0.30075643
0.049475262,0.332526475
0.049475262,0.292813918
0.062968516,0.281164902
0.076461769,0.271104387
0.08095952,0.323524962
0.094452774,0.262632375
0.103448276,0.247806354
0.116941529,0.316111952
0.125937031,0.232980333
0.139430285,0.218683812
0.152923538,0.311875946
0.16191904,0.20279879
0.175412294,0.305521936
0.179910045,0.185325265
0.202398801,0.173146747
0.211394303,0.165204236
0.220389805,0.297049924
0.229385307,0.153555219
0.247376312,0.289636914
0.260869565,0.140847201
0.27886057,0.279576399
0.287856072,0.127080182
0.296851574,0.120196672
0.305847076,0.273751891
0.332833583,0.264750378
0.341829085,0.109606657
0.355322339,0.103782148
0.35982009,0.259984871
0.382308846,0.093721634
0.391304348,0.086308623
0.395802099,0.081013616
0.409295352,0.250453858
0.413793103,0.069364599
0.436281859,0.243570348
0.449775112,0.064069592
0.458770615,0.237216339
0.48125937,0.233509834
0.499250375,0.228214826
0.499250375,0.056656581
0.535232384,0.222390318
0.544227886,0.050302572
0.562218891,0.216036309
0.566716642,0.046066566
0.571214393,0.212329803
0.593703148,0.04183056
0.602698651,0.207564297
0.625187406,0.037594554
0.643178411,0.202269289
0.656671664,0.198562784
0.688155922,0.033358548
0.692653673,0.192738275
0.710644678,0.189561271
0.728635682,0.029652042
0.746626687,0.183736762
0.76011994,0.025416036
0.778110945,0.177912254
0.823088456,0.169969743
0.836581709,0.022239032
0.854572714,0.162556732
0.890554723,0.157791225
0.935532234,0.018003026
0.95802099,0.150378215
0.985007496,0.016414523
1.002998501,0.142435703
1.043478261,0.138729198
1.061469265,0.014826021
1.070464768,0.131316188
1.115442279,0.125491679
1.11994003,0.012178517
1.155922039,0.121785174
1.187406297,0.012708018
1.196401799,0.116490166
1.236881559,0.11172466
1.245877061,0.010590015
1.263868066,0.105370651
1.295352324,0.100605144
1.313343328,0.096898638
1.367316342,0.010060514
1.389805097,0.086838124
1.43928036,0.081013616
1.475262369,0.008472012
1.47976012,0.075189107
1.497751124,0.069364599
1.524737631,0.006354009
1.542728636,0.063540091
1.578710645,0.056656581
1.614692654,0.052420575
1.619190405,0.005824508
1.628185907,0.015885023
1.655172414,0.04183056
1.655172414,0.017473525
1.677661169,0.036006051
1.677661169,0.019062027
1.686656672,0.005295008
1.691154423,0.023298033
1.695652174,0.029652042
1.695652174,0.024886536
1.745127436,0.004765507
1.848575712,0.004236006
1.974512744,0.004236006
2.028485757,0.003177005
2.082458771,0.002647504
2.163418291,0.002647504
2.248875562,0.002118003
2.302848576,0.002647504
2.379310345,0.002647504
2.415292354,0.001588502
2.446776612,0.001059002
2.51874063,0.001059002
2.617691154,-0.000529501
2.671664168,-0.000529501
