uw/u2*,zf/u* Andren/Moeng
-0.958867362,0.00158371
-0.95171386,0.004223228
-0.937406855,0.008446456
-0.930253353,-1.24E-17
-0.923099851,0.013197587
-0.908792846,0.002639517
-0.908792846,0.017948718
-0.898062593,0.002639517
-0.894485842,0.022699849
-0.874813711,0.003695324
-0.873025335,0.02586727
-0.864083458,0.005279035
-0.849776453,0.030090498
-0.8390462,0.006334842
-0.824739195,0.006862745
-0.824739195,0.035369532
-0.803278689,0.006862745
-0.788971684,0.042232278
-0.787183308,0.008446456
-0.772876304,0.044871795
-0.765722802,0.010558069
-0.751415797,0.047511312
-0.737108793,0.011085973
-0.728166915,0.05331825
-0.706706408,0.012669683
-0.703129657,0.058069382
-0.679880775,0.014253394
-0.674515648,0.063348416
-0.661997019,0.068099548
-0.644113264,0.070739065
-0.640536513,0.015837104
-0.622652757,0.075490196
-0.613710879,0.016892911
-0.611922504,0.079713424
-0.588673621,0.085520362
-0.579731744,0.017948718
-0.570789866,0.090271493
-0.551117735,0.096078431
-0.549329359,0.020060332
-0.529657228,0.101357466
-0.511773472,0.020588235
-0.506408346,0.106108597
-0.486736215,0.113499246
-0.483159463,0.022699849
-0.47242921,0.119306184
-0.463487332,0.122473605
-0.459910581,0.123529412
-0.450968703,0.023755656
-0.450968703,0.128280543
-0.449180328,0.133031674
-0.445603577,0.127224736
-0.438450075,0.131975867
-0.427719821,0.02428356
-0.425931446,0.135143288
-0.406259314,0.025339367
-0.404470939,0.140950226
-0.384798808,0.152036199
-0.37585693,0.02586727
-0.35976155,0.026395173
-0.357973174,0.161010558
-0.340089419,0.029034691
-0.332935917,0.170512821
-0.318628912,0.029562594
-0.318628912,0.178431373
-0.31147541,0.1826546
-0.300745156,0.031674208
-0.29538003,0.190573152
-0.284649776,0.032730015
-0.27928465,0.196907994
-0.268554396,0.202714932
-0.26318927,0.033785822
-0.259612519,0.20693816
-0.252459016,0.212217195
-0.238152012,0.217496229
-0.236363636,0.034841629
-0.225633383,0.223303167
-0.222056632,0.036425339
-0.220268256,0.225942685
-0.204172876,0.229638009
-0.19880775,0.038536953
-0.184500745,0.240723982
-0.179135618,0.040120664
-0.175558867,0.245475113
-0.159463487,0.250754148
-0.155886736,0.043815988
-0.148733234,0.257616893
-0.136214605,0.264479638
-0.129061103,0.048567119
-0.123695976,0.271870287
-0.111177347,0.280316742
-0.107600596,0.051206637
-0.102235469,0.287707391
-0.091505216,0.055957768
-0.086140089,0.294570136
-0.078986587,0.062820513
-0.075409836,0.300904977
-0.064679583,0.306184012
-0.053949329,0.071794872
-0.053949329,0.312518854
-0.046795827,0.078129713
-0.0414307,0.086576169
-0.037853949,0.316214178
-0.036065574,0.093438914
-0.027123696,0.100301659
-0.027123696,0.323076923
-0.023546945,0.119834087
-0.023546945,0.108748115
-0.019970194,0.125113122
-0.018181818,0.331523379
-0.016393443,0.132503771
-0.014605067,0.14147813
-0.00923994,0.154675716
-0.00923994,0.148340875
-0.007451565,0.164177979
-0.005663189,0.189517345
-0.005663189,0.178959276
-0.005663189,0.171040724
-0.002086438,0.228054299
-0.002086438,0.216440422
-0.002086438,0.204298643
-0.002086438,0.196907994
-0.002086438,0.341553544
0.003278689,0.291402715
0.003278689,0.282956259
0.003278689,0.269230769
0.003278689,0.2586727
0.003278689,0.247586727
0.003278689,0.239140271
0.005067064,0.332579186
0.005067064,0.32571644
0.005067064,0.316214178
0.005067064,0.307767722
0.005067064,0.299321267
