?M,zf/u*
1.011661808,0.000465839
1.032069971,0.000776398
1.052478134,0.001397516
1.075801749,0.001863354
1.099125364,0.002795031
1.102040816,0.002795031
1.104956268,0.002872671
1.10787172,0.002872671
1.110787172,0.002950311
1.113702624,0.002950311
1.116618076,0.00310559
1.119533528,0.00310559
1.12244898,0.00318323
1.125364431,0.00326087
1.128279883,0.003338509
1.131195335,0.003416149
1.134110787,0.003416149
1.137026239,0.003571429
1.139941691,0.003571429
1.142857143,0.003726708
1.145772595,0.003726708
1.148688047,0.003881988
1.151603499,0.003881988
1.15451895,0.004037267
1.157434402,0.004037267
1.160349854,0.004192547
1.163265306,0.004192547
1.166180758,0.004347826
1.16909621,0.004347826
1.172011662,0.004425466
1.174927114,0.004503106
1.177842566,0.004580745
1.180758017,0.004658385
1.183673469,0.004813665
1.186588921,0.004813665
1.189504373,0.004968944
1.192419825,0.004968944
1.195335277,0.005124224
1.198250729,0.005279503
1.201166181,0.005279503
1.204081633,0.005434783
1.206997085,0.005434783
1.209912536,0.005590062
1.212827988,0.005745342
1.21574344,0.005745342
1.218658892,0.005900621
1.221574344,0.005900621
1.224489796,0.006055901
1.227405248,0.00621118
1.2303207,0.00621118
1.233236152,0.00636646
1.236151603,0.00636646
1.239067055,0.006521739
1.241982507,0.006677019
1.244897959,0.006677019
1.247813411,0.006832298
1.250728863,0.006832298
1.253644315,0.006987578
1.256559767,0.007142857
1.259475219,0.007142857
1.262390671,0.007298137
1.265306122,0.007298137
1.268221574,0.007453416
1.271137026,0.007608696
1.274052478,0.007608696
1.27696793,0.007763975
1.279883382,0.007763975
1.282798834,0.007919255
1.285714286,0.008074534
1.288629738,0.008074534
1.29154519,0.008229814
1.294460641,0.008229814
1.297376093,0.008385093
1.300291545,0.008540373
1.303206997,0.008540373
1.306122449,0.008695652
1.309037901,0.008695652
1.311953353,0.008850932
1.314868805,0.008928571
1.314868805,0.10015528
1.317784257,0.009006211
1.320699708,0.097360248
1.32361516,0.09689441
1.32361516,0.099068323
1.32361516,0.097826087
1.326530612,0.096350932
1.326530612,0.06878882
1.326530612,0.066770186
1.326530612,0.065062112
1.326530612,0.063198758
1.326530612,0.061956522
1.326530612,0.060248447
1.326530612,0.05931677
1.329446064,0.095419255
1.332361516,0.094254658
1.335276968,0.093012422
1.335276968,0.058229814
1.33819242,0.091770186
1.33819242,0.071273292
1.33819242,0.009782609
1.341107872,0.09052795
1.344023324,0.089130435
1.344023324,0.056677019
1.346938776,0.085689441
1.346938776,0.072670807
1.346938776,0.055279503
1.349854227,0.082477305
1.352769679,0.081925466
1.355685131,0.08070821
1.355685131,0.074689441
1.358600583,0.079384168
1.358600583,0.076086957
1.358600583,0.010559006
1.361516035,0.078493789
1.361516035,0.054813665
1.364431487,0.077795031
1.367346939,0.053726708
1.370262391,0.053338509
1.373177843,0.052950311
1.376093294,0.052639752
1.376093294,0.011024845
1.379008746,0.052173913
1.381924198,0.051863354
1.38483965,0.051397516
1.387755102,0.051086957
1.390670554,0.050621118
1.393586006,0.050310559
1.396501458,0.04984472
1.39941691,0.049534161
1.402332362,0.049068323
1.405247813,0.048757764
1.408163265,0.048369565
1.408163265,0.011956522
1.411078717,0.047981366
1.413994169,0.047670807
1.416909621,0.047204969
1.419825073,0.04689441
1.422740525,0.046428571
1.425655977,0.046118012
1.425655977,0.012267081
1.428571429,0.045652174
1.43148688,0.045341615
1.434402332,0.044875776
1.437317784,0.044565217
1.440233236,0.044177019
1.443148688,0.04378882
1.44606414,0.043478261
1.44606414,0.013198758
1.448979592,0.043012422
1.451895044,0.042701863
1.454810496,0.042236025
1.457725948,0.041925466
1.460641399,0.041459627
1.463556851,0.041149068
1.466472303,0.04068323
1.466472303,0.013664596
1.469387755,0.040372671
1.472303207,0.039906832
1.475218659,0.039596273
1.478134111,0.039130435
1.478134111,0.015217391
1.481049563,0.038819876
1.483965015,0.038509317
1.486880466,0.038043478
1.486880466,0.016149068
1.489795918,0.037732919
1.49271137,0.037267081
1.495626822,0.036956522
1.498542274,0.036490683
1.501457726,0.036180124
1.501457726,0.016925466
1.504373178,0.035714286
1.50728863,0.035403727
1.510204082,0.034937888
1.513119534,0.034627329
1.516034985,0.034161491
1.516034985,0.018167702
1.518950437,0.031968168
1.521865889,0.026612518
1.524781341,0.027186853
1.524781341,0.018944099
1.527696793,0.027044513
1.527696793,0.032763975
1.530612245,0.027293359
1.533527697,0.027639752
1.536443149,0.027993444
1.539358601,0.027475845
1.539358601,0.030590062
1.539358601,0.028726708
1.539358601,0.029503106
1.539358601,0.019565217
1.542274052,0.026909024
1.545189504,0.026639061
1.548104956,0.026121463
1.551020408,0.025646998
1.551020408,0.020807453
1.55393586,0.025172533
1.556851312,0.024654934
1.559766764,0.024180469
1.559766764,0.02173913
1.562682216,0.023730362
1.565597668,0.023369565
1.56851312,0.023136646
1.571428571,0.022903727
