u2/u2*,zf/u* Nieuwstadt
2.08E-17,0.32934947
0.012012012,0.348411498
0.012012012,0.339939486
0.012012012,0.306580938
0.024024024,0.291225416
0.06006006,0.2801059
0.06006006,0.26633888
0.072072072,0.248865356
0.12012012,0.230332829
0.12012012,0.205446293
0.144144144,0.188502269
0.156156156,0.173146747
0.192192192,0.146142209
0.264264264,0.121785174
0.312312312,0.09795764
0.36036036,0.078366112
0.36036036,0.078366112
0.432432432,0.34311649
0.432432432,0.333585477
0.444444444,0.347881997
0.516516517,0.317170953
0.552552553,0.059304085
0.600600601,0.302344932
0.648648649,0.286459909
0.672672673,0.045537065
0.744744745,0.271633888
0.804804805,0.258396369
0.888888889,0.246217852
0.912912913,0.034417549
0.996996997,0.236686838
1.009009009,0.001059002
1.033033033,0.228214826
1.033033033,0.029122542
1.117117117,0.004765507
1.177177177,0.215506808
1.189189189,0.006354009
1.237237237,0.009001513
1.273273273,0.20279879
1.333333333,0.02065053
1.381381381,0.192738275
1.381381381,0.010590015
1.429429429,0.016414523
1.525525526,0.178971256
1.693693694,0.166792738
1.861861862,0.155143722
2.09009009,0.144553707
2.246246246,0.133434191
2.474474474,0.122314675
2.666666667,0.114372163
2.798798799,0.107488654
2.954954955,0.102193646
3.135135135,0.095839637
3.339339339,0.09107413
3.51951952,0.085249622
3.531531532,0.005295008
3.57957958,0.005824508
3.627627628,0.081543116
3.831831832,0.079954614
3.915915916,0.005295008
4.096096096,0.075189107
4.156156156,0.008472012
4.288288288,0.072012103
4.324324324,0.008472012
4.468468468,0.068835098
4.588588589,0.009531014
4.672672673,0.065128593
4.900900901,0.009531014
4.960960961,0.060892587
5.081081081,0.011119516
5.237237237,0.057186082
5.309309309,0.011649017
5.441441441,0.012708018
5.489489489,0.054009077
5.585585586,0.01376702
5.777777778,0.050302572
5.801801802,0.014826021
5.96996997,0.016944024
6.042042042,0.047125567
6.126126126,0.018532526
6.162162162,0.045007564
6.222222222,0.019062027
6.366366366,0.02118003
6.438438438,0.042889561
6.462462462,0.022239032
6.582582583,0.022768533
6.606606607,0.039183056
6.654654655,0.024357035
6.738738739,0.03494705
6.762762763,0.027534039
6.846846847,0.032829047
