v2/u2*,zf/u* Schumann/Graf
0.059970015,0.289291101
0.059970015,0.301960784
0.065967016,0.34841629
0.071964018,0.313046757
0.071964018,0.326772247
0.071964018,0.33785822
0.095952024,0.254977376
0.095952024,0.269230769
0.107946027,0.231221719
0.11994003,0.218552036
0.16191904,0.198491704
0.179910045,0.175263952
0.203898051,0.159954751
0.221889055,0.145173454
0.257871064,0.12933635
0.287856072,0.114555053
0.347826087,0.097134238
0.35982009,0.348944193
0.389805097,0.343665158
0.407796102,0.332579186
0.407796102,0.083936652
0.449775112,0.32254902
0.47976012,0.313574661
0.47976012,0.072850679
0.503748126,0.301432881
0.52173913,0.003167421
0.539730135,0.061764706
0.545727136,0.294042232
0.581709145,0.003695324
0.593703148,0.28453997
0.59970015,0.057013575
0.623688156,0.277677225
0.647676162,0.273453997
0.647676162,0.05015083
0.671664168,0.264479638
0.683658171,0.046983409
0.725637181,0.006862745
0.731634183,0.253393665
0.731634183,0.041704374
0.773613193,0.246003017
0.809595202,0.037481146
0.815592204,0.238612368
0.851574213,0.033785822
0.857571214,0.231221719
0.899550225,0.222775264
0.899550225,0.010030166
0.923538231,0.029034691
0.941529235,0.218024133
0.95952024,0.026923077
0.977511244,0.207993967
1.00149925,0.01214178
1.007496252,0.200075415
1.013493253,0.19479638
1.013493253,0.190573152
1.013493253,0.023755656
1.037481259,0.019532428
1.043478261,0.01372549
1.061469265,0.183182504
1.097451274,0.174208145
1.145427286,0.164705882
1.187406297,0.157843137
1.1994003,0.155731523
1.259370315,0.145173454
1.331334333,0.135143288
1.391304348,0.127224736
1.451274363,0.119834087
1.499250375,0.111387632
1.565217391,0.102413273
1.67916042,0.093966817
1.739130435,0.08974359
1.739130435,0.08974359
1.823088456,0.080241327
1.883058471,0.072850679
1.943028486,0.06546003
2.062968516,0.056485671
2.164917541,0.046455505
2.27886057,0.041176471
2.3988006,0.034841629
2.488755622,0.029562594
2.602698651,0.02428356
2.692653673,0.022171946
2.764617691,0.021116139
2.860569715,0.019004525
2.956521739,0.003695324
2.968515742,0.017948718
3.034482759,0.006334842
3.076461769,0.015309201
3.11844078,0.007918552
3.172413793,0.010030166
3.208395802,0.012669683
