vw/u2*,zf/u* Andren/Moeng
-0.25754858,-0.001588502
-0.241106129,0.000529501
-0.202242152,0.003706505
-0.166367713,0.006354009
-0.140956652,0.011119516
-0.123019432,0.01429652
-0.082660688,0.017473525
-0.064723468,0.019591528
-0.037817638,0.024886536
-0.02735426,0.027534039
-0.016890882,0.029652042
0.001046338,0.033888048
0.004035874,0.032299546
0.007025411,0.322465961
0.008520179,0.305521936
0.008520179,0.295461422
0.010014948,0.214447806
0.011509716,0.346822995
0.011509716,0.339409985
0.011509716,0.331996974
0.011509716,0.28698941
0.011509716,0.274810893
0.011509716,0.261573374
0.011509716,0.244629349
0.011509716,0.230332829
0.011509716,0.187972769
0.011509716,0.17473525
0.011509716,0.165204236
0.013004484,0.20332829
0.013004484,0.036535552
0.014499253,0.35
0.014499253,0.156732224
0.014499253,0.151966717
0.014499253,0.123373676
0.014499253,0.111195159
0.015994021,0.042360061
0.017488789,0.055597579
0.017488789,0.047655068
0.018983558,0.142435703
0.018983558,0.130786687
0.018983558,0.107488654
0.020478326,0.343645991
0.021973094,0.038653555
0.023467862,0.096898638
0.023467862,0.090544629
0.023467862,0.084720121
0.023467862,0.062481089
0.026457399,0.078895613
0.026457399,0.074659607
0.026457399,0.071482602
0.026457399,0.068305598
0.027952167,0.337291982
0.029446936,0.04183056
0.032436472,0.331467474
0.041405082,0.325642965
0.047384155,0.318759455
0.050373692,0.046066566
0.062331839,0.310816944
0.065321375,0.04924357
0.071300448,0.304462935
0.075784753,0.051361573
0.083258595,0.05612708
0.086248132,0.297049924
0.092227205,0.292284418
0.102690583,0.059833585
0.10568012,0.285400908
0.110164425,0.061951589
0.116143498,0.2801059
0.125112108,0.065128593
0.131091181,0.272163389
0.137070254,0.0698941
0.138565022,0.267397882
0.147533632,0.073600605
0.150523169,0.261573374
0.155007474,0.075189107
0.165470852,0.253630862
0.16696562,0.247276853
0.16696562,0.079954614
0.174439462,0.241452345
0.174439462,0.234568835
0.178923767,0.216565809
0.178923767,0.085249622
0.180418535,0.221860817
0.181913303,0.226626324
0.186397608,0.2102118
0.186397608,0.138729198
0.189387145,0.132375189
0.189387145,0.092662632
0.19387145,0.128139183
0.195366218,0.20279879
0.195366218,0.144553707
0.195366218,0.121785174
0.195366218,0.099546142
0.198355755,0.151966717
0.198355755,0.114372163
0.198355755,0.108018154
0.201345291,0.193797277
0.201345291,0.159909228
0.204334828,0.187443268
0.205829596,0.173676248
0.205829596,0.166792738
0.207324365,0.17526475
0.210313901,0.181618759
