u2/u2*,zf/u* SGS part
0.023845007,0.348387097
0.023845007,0.340322581
0.035767511,0.317741935
0.035767511,0.289784946
0.035767511,0.279569892
0.035767511,0.272043011
0.047690015,0.331182796
0.047690015,0.260752688
0.059612519,0.303763441
0.059612519,0.297311828
0.059612519,0.252150538
0.071535022,0.228494624
0.071535022,0.220430108
0.071535022,0.208602151
0.071535022,0.193010753
0.071535022,-6.51E-18
0.083457526,0.241397849
0.107302534,0.177419355
0.119225037,0.158602151
0.119225037,0.148387097
0.143070045,0.141397849
0.143070045,0.134408602
0.143070045,-6.51E-18
0.166915052,0.123655914
0.178837556,0.112903226
0.178837556,0.102688172
0.214605067,0.096774194
0.250372578,0.088709677
0.309985097,0.07688172
0.333830104,0.065053763
0.345752608,-6.51E-18
0.357675112,0.058064516
0.405365127,-6.51E-18
0.464977645,0.048387097
0.500745156,0.041397849
0.584202683,0.000537634
0.60804769,0.034946237
0.679582712,0.030645161
0.786885246,0.000537634
0.834575261,0.024193548
0.941877794,0.000537634
1.001490313,0.019354839
1.001490313,-6.51E-18
1.21609538,0.015591398
1.228017884,-6.51E-18
1.323397914,-6.51E-18
1.418777943,0.012903226
1.621460507,0.011827957
1.812220566,0.002150538
1.859910581,0.010752688
1.871833085,0.002688172
2.050670641,0.009139785
2.098360656,0.001612903
2.217585693,0.001612903
2.277198212,0.008064516
2.396423249,0.007526882
2.408345753,0.001612903
2.539493294,0.001612903
2.611028316,0.005913978
2.658718331,0.001612903
2.730253353,0.005376344
2.730253353,0.001612903
2.801788376,0.005376344
2.825633383,0.001075269
2.909090909,0.005376344
2.968703428,0.001075269
3.004470939,0.005913978
3.016393443,0.002150538
