v2/u2*,"zf/u* Mason/Brown,nbsct"
0.023988006,0.341553544
0.023988006,0.34841629
0.065967016,0.307767722
0.065967016,0.320437406
0.065967016,0.328355958
0.071964018,0.278733032
0.071964018,0.290346908
0.077961019,0.265007541
0.095952024,0.256561086
0.101949025,0.232277526
0.101949025,0.245475113
0.11994003,0.220135747
0.155922039,0.20693816
0.16191904,0.185822021
0.16191904,0.19479638
0.185907046,0.171040724
0.209895052,0.161010558
0.23988006,0.145173454
0.257871064,0.134087481
0.28185907,0.11561086
0.317841079,0.105580694
0.377811094,0.349472097
0.383808096,0.090271493
0.425787106,0.342609351
0.425787106,0.080241327
0.461769115,0.074434389
0.47976012,0.332051282
0.503748126,0.323076923
0.52173913,0.06387632
0.545727136,0.056485671
0.581709145,0.307767722
0.623688156,0.300904977
0.659670165,0.292458522
0.659670165,0.050678733
0.701649175,0.284012066
0.725637181,0.043815988
0.743628186,0.278733032
0.779610195,0.03959276
0.791604198,0.269230769
0.821589205,0.26025641
0.845577211,0.252337858
0.869565217,0.036425339
0.893553223,0.243891403
0.893553223,0.243891403
0.965517241,0.228582202
0.971514243,0.031674208
1.019490255,0.215384615
1.055472264,0.204826546
1.07946027,0.029034691
1.109445277,0.195324284
1.157421289,0.189517345
1.163418291,0.026395173
1.217391304,0.181598793
1.259370315,0.173152338
1.265367316,0.022171946
1.331334333,0.165233786
1.373313343,0.157315234
1.433283358,0.018476621
1.43928036,0.146229261
1.535232384,0.137254902
1.535232384,0.016892911
1.571214393,0.127224736
1.631184408,0.116666667
1.661169415,0.016365008
1.673163418,0.105580694
1.709145427,0.100829563
1.739130435,0.014253394
1.775112444,0.090271493
1.84107946,0.01214178
1.847076462,0.07760181
1.883058471,0.066515837
1.883058471,0.011613876
1.943028486,0.054901961
1.997001499,0.043815988
2.008995502,0.010030166
2.086956522,0.034841629
2.116941529,0.010030166
2.176911544,0.026923077
2.206896552,0.008446456
2.290854573,0.022699849
2.296851574,0.006334842
2.356821589,0.006862745
2.410794603,0.006862745
2.44077961,0.017948718
2.506746627,0.003167421
2.51874063,0.014253394
2.632683658,0.003167421
2.644677661,0.01214178
2.75862069,0.00158371
2.806596702,0.009502262
2.890554723,0.006862745
2.956521739,0.004751131
2.962518741,4.88E-18
3.010494753,4.88E-18
3.064467766,0.002111614
3.082458771,0.004751131
3.130434783,0.003167421
