U-wind,z
m/s,m
0.114421931,6.181318681
0.243146603,4.120879121
0.414779499,8.241758242
0.715137068,8.241758242
0.972586412,8.241758242
1.129916567,6.181318681
1.358760429,6.181318681
1.516090584,8.241758242
1.730631704,12.36263736
1.945172825,10.3021978
2.174016687,8.241758242
2.331346841,8.241758242
2.502979738,8.241758242
2.84624553,12.36263736
2.974970203,12.36263736
3.203814064,8.241758242
3.547079857,8.241758242
3.690107271,16.48351648
3.976162098,16.48351648
4.176400477,14.42307692
4.519666269,16.48351648
4.791418355,20.6043956
4.934445769,20.6043956
5.134684148,20.6043956
5.334922527,22.66483516
5.492252682,24.72527473
5.606674613,26.78571429
5.692491061,26.78571429
5.864123957,35.02747253
6.007151371,37.08791209
6.193087008,41.20879121
6.336114422,45.32967033
6.464839094,45.32967033
6.63647199,51.51098901
6.765196663,59.75274725
6.965435042,65.93406593
7.137067938,76.23626374
7.323003576,80.35714286
7.423122765,90.65934066
7.58045292,98.9010989
7.823599523,115.3846154
8.009535161,131.8681319
8.238379023,146.2912088
8.42431466,171.0164835
8.538736591,195.7417582
8.653158522,203.9835165
8.73897497,216.3461538
8.824791418,239.010989
8.910607867,251.3736264
9.025029797,271.978022
9.096543504,296.7032967
9.182359952,315.2472527
9.253873659,333.7912088
9.311084625,348.2142857
9.382598331,362.6373626
9.439809297,387.3626374
9.525625745,407.967033
9.568533969,420.3296703
9.58283671,451.2362637
9.597139452,473.9010989
9.625744934,506.8681319
9.640047676,525.4120879
9.654350417,543.956044
9.668653159,572.8021978
9.725864124,599.5879121
9.725864124,614.010989
9.754469607,626.3736264
9.797377831,644.9175824
9.811680572,661.4010989
9.868891538,679.9450549
9.911799762,704.6703297
9.983313468,731.456044
10.04052443,750
10.0977354,768.543956
10.15494636,791.2087912
10.19785459,807.6923077
10.22646007,826.2362637
10.25506555,850.9615385
10.28367104,875.6868132
10.31227652,885.989011
10.31227652,908.6538462
10.340882,923.0769231
10.340882,937.5
10.35518474,960.1648352
10.38379023,982.8296703
10.38379023,999.3131868
10.38379023,1017.857143
10.41239571,1038.461538
10.41239571,1059.065934
10.44100119,1079.67033
10.44100119,1164.148352
10.44100119,1195.054945
10.44100119,1211.538462
10.44100119,1304.258242
10.44100119,1337.225275
10.44100119,1366.071429
10.44100119,1386.675824
10.44100119,1425.824176
10.45530393,1135.302198
10.45530393,1405.21978
10.46960667,1110.576923
10.46960667,1236.263736
10.46960667,1263.049451
10.46960667,1283.653846
10.46960667,1454.67033
10.5125149,1479.395604
