uw/u2*,zf/u* Schumann/Graf
-0.955290611,0.003167421
-0.930253353,0.007390649
-0.907004471,0.016892911
-0.867660209,0.024811463
-0.830104322,0.032202112
-0.805067064,0.039064857
-0.799701937,0.041704374
-0.772876304,0.046455505
-0.754992548,0.048039216
-0.726378539,0.054374057
-0.706706408,0.058597285
-0.669150522,0.065987934
-0.660208644,0.069683258
-0.640536513,0.072850679
-0.626229508,0.075490196
-0.615499255,0.080241327
-0.60119225,0.085520362
-0.588673621,0.090799397
-0.567213115,0.095022624
-0.551117735,0.099245852
-0.538599106,0.10346908
-0.52071535,0.110331825
-0.508196721,0.114555053
-0.495678092,0.11719457
-0.484947839,0.122473605
-0.474217586,0.124585219
-0.45633383,0.12933635
-0.427719821,0.136199095
-0.406259314,0.14306184
-0.377645306,0.151508296
-0.361549925,0.158371041
-0.347242921,0.164705882
-0.329359165,0.169457014
-0.318628912,0.177903469
-0.307898659,0.1826546
-0.297168405,0.185822021
-0.272131148,0.190045249
-0.261400894,0.193740573
-0.250670641,0.19638009
-0.236363636,0.203770739
-0.207749627,0.209577677
-0.191654247,0.215384615
-0.180923994,0.006862745
-0.179135618,0.221191554
-0.16661699,0.008446456
-0.163040238,0.229110106
-0.15052161,0.233861237
-0.146944858,0.013197587
-0.139791356,0.241779789
-0.136214605,0.024811463
-0.136214605,0.020588235
-0.136214605,0.016365008
-0.136214605,0.014781297
-0.129061103,0.246003017
-0.127272727,0.024811463
-0.118330849,0.254449472
-0.114754098,0.026923077
-0.098658718,0.265007541
-0.096870343,0.031146305
-0.089716841,0.274509804
-0.084351714,0.03800905
-0.071833085,0.044343891
-0.071833085,0.28453997
-0.059314456,0.050678733
-0.055737705,0.295625943
-0.046795827,0.303544495
-0.045007452,0.059653092
-0.037853949,0.311463047
-0.036065574,0.068627451
-0.030700447,0.077073906
-0.023546945,0.085520362
-0.023546945,0.323604827
-0.018181818,0.102941176
-0.018181818,0.096078431
-0.014605067,0.111915535
-0.011028316,0.334690799
-0.00923994,0.158898944
-0.00923994,0.143589744
-0.00923994,0.131447964
-0.003874814,0.19321267
-0.003874814,0.176847662
-0.002086438,0.335218703
-0.000298063,0.29668175
-0.000298063,0.285067873
-0.000298063,0.271870287
-0.000298063,0.253921569
-0.000298063,0.241251885
-0.000298063,0.229110106
-0.000298063,0.213800905
-0.000298063,0.346304676
0.005067064,0.32254902
0.005067064,0.31040724
0.00685544,0.344720965
0.00685544,0.33627451
