u2/u2*,zf/u* total variance
1.87E-16,-0.000537634
0.238450075,-0.000537634
0.357675112,0.351075269
0.369597615,0.339784946
0.41728763,0.327419355
0.441132638,0.317204301
0.441132638,-0.000537634
0.488822653,0.306451613
0.51266766,0.297849462
0.560357675,0.288172043
0.643815201,0.277419355
0.667660209,0.272043011
0.715350224,0.264516129
0.715350224,0.001075269
0.739195231,0.256989247
0.763040238,0.246774194
0.810730253,0.238172043
0.858420268,0.233870968
0.894187779,0.225806452
0.894187779,0.001075269
0.941877794,0.217204301
0.977645306,0.211827957
1.061102832,0.202150538
1.108792846,0.19516129
1.132637854,0.001075269
1.168405365,0.185483871
1.251862891,0.176344086
1.299552906,0.172043011
1.335320417,0.167204301
1.371087928,0.161827957
1.394932936,0.155376344
1.442622951,0.001075269
1.526080477,0.146774194
1.573770492,0.138172043
1.657228018,0.133870968
1.764530551,0.000537634
1.788375559,0.127419355
1.883755589,0.121505376
1.967213115,0.114516129
1.967213115,0.001075269
2.110283159,0.002150538
2.146050671,0.108064516
2.253353204,0.102150538
2.253353204,0.001075269
2.360655738,0.097311828
2.479880775,0.093010753
2.52757079,0.000537634
2.611028316,0.089784946
2.611028316,0.001075269
2.670640835,0.086021505
2.789865872,0.080645161
2.921013413,-6.51E-18
2.932935917,0.077956989
3.028315946,0.074731183
3.13561848,0.069892473
3.183308495,0.000537634
3.302533532,0.067204301
3.385991058,0.001612903
3.481371088,0.062903226
3.624441133,0.059677419
3.684053651,0.001612903
3.731743666,0.055913978
3.827123696,0.002150538
3.862891207,0.054301075
3.982116244,0.051612903
4.125186289,0.050537634
4.208643815,0.048387097
4.292101341,0.046774194
4.339791356,0.002150538
4.44709389,0.045698925
4.566318927,0.042473118
4.697466468,0.040860215
4.757078987,0.002150538
4.86438152,0.039784946
4.935916542,0.002688172
4.95976155,0.038172043
5.114754098,0.037634409
5.138599106,0.036021505
5.245901639,0.035483871
5.317436662,0.002150538
5.365126677,0.033870968
5.508196721,0.031182796
5.56780924,0.002688172
5.615499255,0.030645161
5.734724292,0.029032258
5.734724292,0.003225806
5.889716841,0.02688172
5.925484352,0.004301075
6.044709389,0.025268817
6.092399404,0.002688172
6.211624441,0.02311828
6.223546945,0.003225806
6.307004471,0.003763441
6.390461997,0.022043011
6.414307004,0.002688172
6.473919523,0.018817204
6.521609538,0.003225806
6.581222057,0.003225806
6.616989568,0.017204301
6.628912072,0.003225806
6.68852459,0.003225806
6.748137109,0.013978495
6.760059613,0.003225806
6.831594635,0.003225806
6.903129657,0.012903226
6.950819672,0.002688172
6.986587183,0.011827957
7.010432191,0.003225806
7.070044709,0.008064516
7.093889717,0.002688172
7.129657228,0.006451613
7.236959762,0.003225806
