uw/u2*,zf/u* SGS part
-0.954682779,0.002124431
-0.925679758,0.001062215
-0.90755287,0.002124431
-0.887613293,0.002124431
-0.864048338,0.002655539
-0.836858006,0.003717754
-0.811480363,0.004248862
-0.78429003,0.005311077
-0.773413897,0.006373293
-0.760725076,0.006373293
-0.749848943,0.006373293
-0.746223565,0.004248862
-0.735347432,0.006373293
-0.72265861,0.005842185
-0.709969789,0.006904401
-0.6918429,0.007435508
-0.66102719,0.007966616
-0.635649547,0.009559939
-0.595770393,0.01168437
-0.579456193,0.01168437
-0.557703927,0.01168437
-0.514199396,0.013808801
-0.487009063,0.015402124
-0.468882175,0.015933232
-0.467069486,0.017526555
-0.427190332,0.017526555
-0.410876133,0.018057663
-0.396374622,0.018057663
-0.374622356,0.018057663
-0.347432024,0.019119879
-0.322054381,0.022306525
-0.294864048,0.022306525
-0.251359517,0.024430956
-0.227794562,0.026555387
-0.193353474,0.029210926
-0.160725076,0.033459788
-0.131722054,0.037708649
-0.104531722,0.043019727
-0.088217523,0.045144158
-0.064652568,0.052048558
-0.055589124,0.057890744
-0.048338369,0.066919575
-0.037462236,0.080197269
-0.024773414,0.093474962
-0.022960725,0.107814871
-0.01570997,0.118968134
-0.010271903,0.177389985
-0.010271903,0.152959029
-0.010271903,0.138088012
-0.010271903,0.129059181
-0.008459215,0.196509863
-0.006646526,0.246965099
-0.006646526,0.233156297
-0.006646526,0.218816388
-0.004833837,0.257587253
-0.004833837,0.166236722
-0.001208459,0.316009105
-0.001208459,0.307511381
-0.001208459,0.296889226
-0.001208459,0.285735964
-0.001208459,0.271396055
0.00060423,0.336722307
0.00060423,0.326100152
