vw/u2*,zf/u* Nieuwstadt
-0.242600897,0.000529501
-0.232137519,0.001588502
-0.215695067,0.004236006
-0.212705531,0.001059002
-0.196263079,0.005295008
-0.193273543,0.003706505
-0.179820628,0.00688351
-0.172346786,0.006354009
-0.161883408,0.009531014
-0.148430493,0.011119516
-0.118535127,0.013237519
-0.105082212,0.01376702
-0.094618834,0.015355522
-0.081165919,0.015885023
-0.075186846,0.017473525
-0.061733931,0.02065053
-0.051270553,0.022768533
-0.030343797,0.025945537
-0.015396114,0.025416036
-0.004932735,0.029652042
-0.003437967,0.027004539
0.007025411,0.280635401
0.007025411,0.172617247
0.008520179,0.264220877
0.010014948,0.313464448
0.010014948,0.301815431
0.011509716,0.348411498
0.011509716,0.337291982
0.011509716,0.325642965
0.013004484,0.211270802
0.013004484,0.192208775
0.014499253,0.250453858
0.014499253,0.234568835
0.014499253,0.223449319
0.014499253,0.158320726
0.015994021,0.039183056
0.018983558,0.144553707
0.018983558,0.134493192
0.020478326,0.126550681
0.021973094,0.030181543
0.021973094,0.045007564
0.024962631,0.117549168
0.027952167,0.04871407
0.029446936,0.114372163
0.029446936,0.100605144
0.029446936,0.093192133
0.030941704,0.085249622
0.032436472,0.107488654
0.032436472,0.054538578
0.033931241,0.078895613
0.038415546,0.067776097
0.038415546,0.062481089
0.042899851,0.032829047
0.057847534,0.037594554
0.062331839,0.348411498
0.074289985,0.342057489
0.07877429,0.043419062
0.084753363,0.33623298
0.092227205,0.046596067
0.093721973,0.330408472
0.102690583,0.322995461
0.108669656,0.050302572
0.114648729,0.315582451
0.122122571,0.310287443
0.123617339,0.054009077
0.132585949,0.301815431
0.138565022,0.29387292
0.141554559,0.060892587
0.150523169,0.065658094
0.152017937,0.285930408
0.160986547,0.067776097
0.163976084,0.277987897
0.168460389,0.071482602
0.169955157,0.269515885
0.174439462,0.076248109
0.18490284,0.259984871
0.187892377,0.082602118
0.190881913,0.252571861
0.196860987,0.246747352
0.201345291,0.088426626
0.204334828,0.239334342
0.208819133,0.230332829
0.208819133,0.094251135
0.214798206,0.101134644
0.219282511,0.220801815
0.223766816,0.10484115
0.226756353,0.211800303
0.226756353,0.110665658
0.231240658,0.202269289
0.232735426,0.120196672
0.235724963,0.19591528
0.237219731,0.127080182
0.240209268,0.18903177
0.240209268,0.133434191
0.243198804,0.181618759
0.243198804,0.174205749
0.243198804,0.16785174
0.243198804,0.162556732
0.243198804,0.1397882
0.246188341,0.154614221
0.246188341,0.148789713
