w2/u2*,zf/u* resolved part
0.004418262,0.002102102
0.044182622,0.004204204
0.066273932,0.348948949
0.075110457,0.341591592
0.075110457,0.008933934
0.083946981,0.337387387
0.101620029,0.334234234
0.128129602,0.331606607
0.128129602,0.327927928
0.128129602,0.323198198
0.128129602,0.012087087
0.145802651,0.31951952
0.1634757,0.014714715
0.172312224,0.313738739
0.181148748,0.308483483
0.194403535,0.302177177
0.203240059,0.016291291
0.22533137,0.293243243
0.243004418,0.284834835
0.260677467,0.01996997
0.269513991,0.279054054
0.282768778,0.269594595
0.304860088,0.261711712
0.326951399,0.253303303
0.344624448,0.023123123
0.353460972,0.23963964
0.384388807,0.22545045
0.41089838,0.213363363
0.428571429,0.204954955
0.437407953,0.028903904
0.463917526,0.193918919
0.486008837,0.187087087
0.499263623,0.176051051
0.508100147,0.033108108
0.525773196,0.172897898
0.565537555,0.166591592
0.583210604,0.157132132
0.587628866,0.040990991
0.609720177,0.151876877
0.618556701,0.046246246
0.645066274,0.140840841
0.671575847,0.134534535
0.680412371,0.052552553
0.684830633,0.127702703
0.693667158,0.11509009
0.69808542,0.060435435
0.702503682,0.102477477
0.711340206,0.091441441
0.711340206,0.078303303
0.711340206,0.068843844
