vw/u2*,zf/u* SGS part
-0.304464286,0.003172205
-0.29702381,0.003700906
-0.279166667,0.005287009
-0.261309524,0.005287009
-0.247916667,0.006344411
-0.228571429,0.007401813
-0.215178571,0.008987915
-0.20327381,0.010045317
-0.191369048,0.01163142
-0.179464286,0.013217523
-0.163095238,0.013746224
-0.154166667,0.015861027
-0.14375,0.016389728
-0.128869048,0.018504532
-0.118452381,0.020090634
-0.108035714,0.021676737
-0.102083333,0.02326284
-0.100595238,0.025906344
-0.088690476,0.027492447
-0.075297619,0.029607251
-0.072321429,0.317749245
-0.072321429,0.033308157
-0.070833333,0.305589124
-0.070833333,0.293957704
-0.070833333,0.284441088
-0.070833333,0.277039275
-0.070833333,0.264350453
-0.070833333,0.247432024
-0.070833333,0.237386707
-0.070833333,0.227870091
-0.070833333,0.21570997
-0.070833333,0.204607251
-0.070833333,0.195619335
-0.069345238,0.347885196
-0.069345238,0.33255287
-0.069345238,0.325151057
-0.066369048,0.18663142
-0.066369048,0.132175227
-0.064880952,0.341012085
-0.064880952,0.177114804
-0.064880952,0.166540785
-0.064880952,0.158081571
-0.064880952,0.149093656
-0.064880952,0.14010574
-0.064880952,0.121072508
-0.063392857,0.114199396
-0.063392857,0.088293051
-0.063392857,0.083006042
-0.063392857,0.07560423
-0.063392857,0.071903323
-0.061904762,0.10521148
-0.061904762,0.095694864
-0.061904762,0.062915408
-0.061904762,0.036480363
-0.055952381,0.056042296
-0.055952381,0.050226586
-0.055952381,0.044410876
-0.054464286,0.042296073
