?M,zf/u* Andren/Moeng
1.004580153,0.004427481
1.029007634,0.005343511
1.065648855,0.005954198
1.090076336,0.097557252
1.090076336,0.095725191
1.090076336,0.094045802
1.090076336,0.09221374
1.090076336,0.089923664
1.090076336,0.088244275
1.090076336,0.078778626
1.093129771,0.085801527
1.093129771,0.081068702
1.093129771,0.076030534
1.093129771,0.006717557
1.096183206,0.099541985
1.102290076,0.083664122
1.102290076,0.072366412
1.111450382,0.069770992
1.111450382,0.067175573
1.114503817,0.006870229
1.123664122,0.064274809
1.145038168,0.062137405
1.148091603,0.00778626
1.163358779,0.060916031
1.181679389,0.008396947
1.184732824,0.058473282
1.20610687,0.056335878
1.21221374,0.009007634
1.239694656,0.010076336
1.254961832,0.05389313
1.264122137,0.010229008
1.285496183,0.052061069
1.291603053,0.010839695
1.322137405,0.011450382
1.32519084,0.050076336
1.349618321,0.011908397
1.364885496,0.048091603
1.374045802,0.012824427
1.404580153,0.046259542
1.413740458,0.013740458
1.444274809,0.044427481
1.453435115,0.014656489
1.47480916,0.043358779
1.483969466,0.015572519
1.508396947,0.01648855
1.511450382,0.042137405
1.545038168,0.040763359
1.551145038,0.01740458
1.572519084,0.018320611
1.581679389,0.039083969
1.609160305,0.019083969
1.61221374,0.037862595
1.642748092,0.02
1.658015267,0.036183206
1.658015267,0.021068702
1.685496183,0.034961832
1.685496183,0.021679389
1.703816794,0.033435115
1.716030534,0.031755725
1.722137405,0.022748092
1.734351145,0.030687023
1.74351145,0.029618321
1.74351145,0.02351145
1.764885496,0.027328244
1.770992366,0.024427481
1.774045802,0.026412214
1.786259542,0.02519084
