vw/u2*,zf/u* Schumann/Graf
-0.245590433,0.000529501
-0.197757848,0.004236006
-0.184304933,0.004765507
-0.166367713,0.008472012
-0.152914798,0.005824508
-0.126008969,0.010590015
-0.120029895,0.012178517
-0.103587444,0.013237519
-0.099103139,0.016944024
-0.081165919,0.016944024
-0.073692078,0.018532526
-0.073692078,0.019591528
-0.061733931,0.02118003
-0.046786248,0.021709531
-0.040807175,0.024357035
-0.022869955,0.025416036
-0.022869955,0.030711044
-0.006427504,0.037065053
0.001046338,0.031240545
0.001046338,0.042889561
0.007025411,0.322465961
0.007025411,0.30816944
0.007025411,0.296520424
0.007025411,0.068305598
0.008520179,0.073071104
0.010014948,0.274810893
0.011509716,0.331467474
0.011509716,0.183207262
0.011509716,0.058774584
0.011509716,0.049773071
0.013004484,0.346293495
0.013004484,0.256807867
0.013004484,0.245688351
0.013004484,0.200151286
0.013004484,0.172087746
0.013004484,0.158850227
0.013004484,0.100075643
0.013004484,0.092133132
0.013004484,0.082072617
0.014499253,0.338350983
0.014499253,0.22397882
0.014499253,0.1403177
0.014499253,0.130786687
0.015994021,0.347881997
0.017488789,0.033358548
0.018983558,0.110665658
0.020478326,0.121785174
0.021973094,0.036535552
0.023467862,0.34311649
0.030941704,0.336762481
0.030941704,0.038124054
0.038415546,0.332526475
0.042899851,0.039712557
0.050373692,0.32934947
0.054857997,0.322995461
0.054857997,0.041301059
0.06083707,0.318759455
0.066816143,0.314523449
0.072795217,0.046596067
0.075784753,0.30816944
0.083258595,0.303933434
0.0877429,0.04924357
0.093721973,0.298108926
0.099701046,0.290166415
0.101195815,0.052950076
0.108669656,0.05612708
0.110164425,0.284341906
0.114648729,0.059304085
0.116143498,0.278517398
0.120627803,0.27269289
0.131091181,0.266868381
0.132585949,0.066187595
0.137070254,0.071482602
0.149028401,0.259984871
0.150523169,0.078895613
0.159491779,0.255219365
0.160986547,0.086838124
0.172944694,0.249394856
0.174439462,0.096369138
0.180418535,0.244099849
0.187892377,0.23774584
0.189387145,0.10484115
0.190881913,0.234039334
0.195366218,0.228214826
0.199850523,0.221860817
0.201345291,0.114372163
0.207324365,0.214447806
0.210313901,0.2096823
0.210313901,0.123373676
0.213303438,0.18214826
0.213303438,0.176853253
0.214798206,0.185325265
0.219282511,0.20332829
0.219282511,0.197503782
0.219282511,0.191149773
0.219282511,0.167322239
0.223766816,0.141906203
0.223766816,0.13290469
0.225261584,0.160438729
0.225261584,0.151437216
