vw/u2*,"zf/u* Mason/Brown,bsct"
-0.26651719,0.000529501
-0.256053812,0.002647504
-0.233632287,0.004236006
-0.23064275,0.001059002
-0.214200299,0.005824508
-0.203736921,0.001588502
-0.199252616,0.007413011
-0.190284006,0.003177005
-0.188789238,0.009531014
-0.167862481,0.003706505
-0.161883408,0.011119516
-0.148430493,0.005295008
-0.14245142,0.01376702
-0.13348281,0.015885023
-0.13348281,0.006354009
-0.120029895,0.007413011
-0.108071749,0.018532526
-0.103587444,0.009001513
-0.085650224,0.022239032
-0.075186846,0.012178517
-0.069207773,0.025945537
-0.060239163,0.01376702
-0.051270553,0.015885023
-0.04529148,0.029652042
-0.033333333,0.018532526
-0.021375187,0.03494705
-0.019880419,0.024357035
-0.004932735,0.038653555
-0.001943199,0.028593041
0.005530643,0.286459909
0.008520179,0.30128593
0.008520179,0.24515885
0.008520179,0.234568835
0.010014948,0.042360061
0.010014948,0.325113464
0.010014948,0.31505295
0.011509716,0.267927383
0.011509716,0.254689864
0.013004484,0.347881997
0.013004484,0.344175492
0.013004484,0.337821483
0.013004484,0.329878971
0.013004484,0.334114977
0.013004484,0.036535552
0.015994021,0.345234493
0.017488789,0.220272315
0.017488789,0.212329803
0.017488789,0.191679274
0.018983558,0.065128593
0.018983558,0.06301059
0.018983558,0.052420575
0.020478326,0.326172466
0.020478326,0.045007564
0.020478326,0.204387292
0.020478326,0.182677761
0.021973094,0.174205749
0.021973094,0.167322239
0.021973094,0.156732224
0.021973094,0.152496218
0.021973094,0.14667171
0.021973094,0.1397882
0.021973094,0.128668684
0.021973094,0.11225416
0.021973094,0.093192133
0.023467862,0.0698941
0.024962631,0.079425113
0.024962631,0.074659607
0.032436472,0.319818457
0.032436472,0.046066566
0.041405082,0.317700454
0.042899851,0.049773071
0.05186846,0.308698941
0.05186846,0.050832073
0.054857997,0.304462935
0.066816143,0.053479576
0.06980568,0.298108926
0.07877429,0.29387292
0.07877429,0.058245083
0.086248132,0.059833585
0.0877429,0.286459909
0.095216741,0.281694402
0.102690583,0.276928896
0.10568012,0.065128593
0.108669656,0.271104387
0.114648729,0.26633888
0.120627803,0.071482602
0.131091181,0.256807867
0.132585949,0.074130106
0.141554559,0.249924357
0.144544096,0.077836611
0.149028401,0.080484115
0.153512706,0.240393343
0.155007474,0.085779123
0.156502242,0.233509834
0.162481315,0.088956127
0.165470852,0.227155825
0.171449925,0.095310136
0.172944694,0.221860817
0.178923767,0.099546142
0.186397608,0.2096823
0.186397608,0.102723147
0.187892377,0.213918306
0.190881913,0.20332829
0.192376682,0.108018154
0.199850523,0.193267776
0.201345291,0.11225416
0.20284006,0.115960666
0.20284006,0.115960666
0.204334828,0.183207262
0.204334828,0.11913767
0.210313901,0.126550681
0.213303438,0.178441755
0.214798206,0.133963691
0.216292975,0.138199697
0.217787743,0.158850227
0.217787743,0.150378215
0.217787743,0.143494705
0.219282511,0.171028744
0.219282511,0.163086233
