?M,zf/u* Nieuwstadt
1.001526718,0.004580153
1.044274809,0.005496183
1.053435115,0.005801527
1.108396947,0.006259542
1.126717557,0.006717557
1.157251908,0.007328244
1.20610687,0.007938931
1.230534351,0.00870229
1.254961832,0.009160305
1.297709924,0.009923664
1.328244275,0.010381679
1.346564885,0.010839695
1.367938931,0.01129771
1.370992366,0.096793893
1.370992366,0.094045802
1.370992366,0.092061069
1.377099237,0.1
1.383206107,0.090076336
1.389312977,0.087328244
1.392366412,0.011450382
1.398473282,0.084274809
1.404580153,0.082137405
1.410687023,0.080458015
1.425954198,0.077862595
1.425954198,0.012366412
1.432061069,0.076335878
1.447328244,0.073435115
1.46259542,0.012977099
1.471755725,0.071908397
1.477862595,0.012977099
1.487022901,0.070076336
1.505343511,0.068396947
1.511450382,0.013587786
1.523664122,0.066412214
1.535877863,0.014045802
1.541984733,0.064885496
1.560305344,0.063664122
1.560305344,0.014503817
1.581679389,0.062442748
1.590839695,0.060916031
1.59389313,0.015267176
1.603053435,0.06
1.630534351,0.015877863
1.639694656,0.058015267
1.658015267,0.056183206
1.661068702,0.016641221
1.682442748,0.016793893
1.697709924,0.054351145
1.712977099,0.017557252
1.73740458,0.051755725
1.746564885,0.018320611
1.770992366,0.049312977
1.789312977,0.018931298
1.807633588,0.046717557
1.816793893,0.020458015
1.835114504,0.045038168
1.841221374,0.021679389
1.865648855,0.023358779
1.86870229,0.043053435
1.890076336,0.024427481
1.896183206,0.040610687
1.923664122,0.039236641
1.926717557,0.025496183
1.941984733,0.027022901
1.951145038,0.037099237
1.963358779,0.035877863
1.966412214,0.034198473
1.969465649,0.032366412
1.975572519,0.030076336
1.975572519,0.028396947
