uw/u2*,"zf/u* Mason/Brown,nbsct"
-0.958867362,0.003167421
-0.9195231,0.011085973
-0.912369598,0.001055807
-0.90342772,0.016365008
-0.894485842,0.018476621
-0.889120715,0.001055807
-0.87123696,0.002111614
-0.869448584,0.02428356
-0.858718331,0.029034691
-0.853353204,0.003695324
-0.840834575,0.031674208
-0.8390462,0.004223228
-0.826527571,0.035369532
-0.814008942,0.004223228
-0.805067064,0.040648567
-0.794336811,0.005279035
-0.783606557,0.043815988
-0.77466468,0.005279035
-0.767511177,0.048567119
-0.762146051,0.006334842
-0.753204173,0.052262443
-0.751415797,0.006862745
-0.733532042,0.006862745
-0.728166915,0.055957768
-0.724590164,0.006862745
-0.719225037,0.060708899
-0.710283159,0.007918552
-0.703129657,0.064404223
-0.690611028,0.008974359
-0.676304024,0.070211161
-0.656631893,0.009502262
-0.64947839,0.076546003
-0.640536513,0.010558069
-0.626229508,0.084464555
-0.610134128,0.087631976
-0.604769001,0.012669683
-0.588673621,0.092911011
-0.570789866,0.098190045
-0.556482861,0.012669683
-0.556482861,0.104524887
-0.543964232,0.014253394
-0.53681073,0.108748115
-0.515350224,0.11561086
-0.50461997,0.120361991
-0.497466468,0.01372549
-0.483159463,0.126696833
-0.477794337,0.014781297
-0.461698957,0.131975867
-0.447391952,0.136726998
-0.434873323,0.142533937
-0.433084948,0.016892911
-0.416989568,0.148868778
-0.406259314,0.019004525
-0.399105812,0.020060332
-0.395529061,0.15520362
-0.383010432,0.159426848
-0.381222057,0.021116139
-0.366915052,0.166817496
-0.35976155,0.169984917
-0.34366617,0.021116139
-0.34366617,0.176319759
-0.322205663,0.183710407
-0.306110283,0.022699849
-0.297168405,0.19479638
-0.275707899,0.025339367
-0.268554396,0.207466063
-0.261400894,0.211689291
-0.252459016,0.026923077
-0.241728763,0.22066365
-0.229210134,0.029034691
-0.225633383,0.224886878
-0.205961252,0.030618401
-0.205961252,0.232277526
-0.186289121,0.24494721
-0.180923994,0.033257919
-0.175558867,0.248642534
-0.175558867,0.248642534
-0.16661699,0.034841629
-0.163040238,0.258144796
-0.146944858,0.267119155
-0.143368107,0.037481146
-0.127272727,0.03959276
-0.121907601,0.279260935
-0.107600596,0.28612368
-0.102235469,0.045399698
-0.102235469,0.292458522
-0.100447094,0.295098039
-0.080774963,0.05015083
-0.080774963,0.303544495
-0.070044709,0.056485671
-0.068256334,0.31199095
-0.066467958,0.317269985
-0.062891207,0.060180995
-0.059314456,0.323604827
-0.050372578,0.068627451
-0.046795827,0.330995475
-0.043219076,0.075490196
-0.037853949,0.336802413
-0.032488823,0.100829563
-0.032488823,0.093966817
-0.032488823,0.085520362
-0.027123696,0.342609351
-0.023546945,0.114027149
-0.021758569,0.126696833
-0.021758569,0.346832579
-0.019970194,0.144645551
-0.011028316,0.163122172
-0.00923994,0.179487179
-0.002086438,0.23438914
-0.002086438,0.225414781
-0.002086438,0.20693816
-0.002086438,0.194268477
0.001490313,0.316742081
0.001490313,0.301960784
0.001490313,0.287707391
0.001490313,0.276093514
0.001490313,0.261312217
0.001490313,0.245475113
0.003278689,0.328883861
0.00685544,0.346832579
0.00685544,0.338386124
