uw/u2*,"zf/u* Mason/Brown,bsct"
-0.953502235,0.003695324
-0.932041729,0.010030166
-0.923099851,0.000527903
-0.910581222,0.016892911
-0.899850969,0.020588235
-0.881967213,0.000527903
-0.880178838,0.022699849
-0.85514158,0.029562594
-0.835469449,0.032202112
-0.828315946,0.030090498
-0.826527571,0.001055807
-0.815797317,0.036953243
-0.787183308,0.041704374
-0.785394933,0.041704374
-0.756780924,0.002111614
-0.746050671,0.048567119
-0.719225037,0.054374057
-0.688822653,0.060708899
-0.687034277,0.002639517
-0.654843517,0.066515837
-0.631594635,0.003695324
-0.61728763,0.075490196
-0.594038748,0.080769231
-0.570789866,0.004223228
-0.567213115,0.086576169
-0.543964232,0.093438914
-0.531445604,0.005279035
-0.513561848,0.100829563
-0.48852459,0.006334842
-0.479582712,0.107164404
-0.459910581,0.112971342
-0.452757079,0.007390649
-0.434873323,0.118778281
-0.422354694,0.122473605
-0.402682563,0.128808446
-0.400894188,0.008974359
-0.379433681,0.134615385
-0.349031297,0.142533937
-0.345454545,0.010030166
-0.322205663,0.149396682
-0.298956781,0.010558069
-0.282861401,0.163122172
-0.275707899,0.012669683
-0.250670641,0.175263952
-0.239940387,0.015309201
-0.218479881,0.186349925
-0.213114754,0.018476621
-0.189865872,0.195852187
-0.188077496,0.020588235
-0.175558867,0.201131222
-0.16661699,0.02428356
-0.159463487,0.20852187
-0.15052161,0.213800905
-0.148733234,0.026923077
-0.13442623,0.031674208
-0.13442623,0.21907994
-0.123695976,0.222775264
-0.121907601,0.036425339
-0.114754098,0.041176471
-0.112965723,0.231749623
-0.102235469,0.239668175
-0.096870343,0.046983409
-0.087928465,0.247586727
-0.086140089,0.055429864
-0.078986587,0.063348416
-0.077198212,0.255505279
-0.066467958,0.072322775
-0.059314456,0.266591252
-0.05752608,0.080241327
-0.052160954,0.089215686
-0.050372578,0.097662142
-0.048584203,0.276093514
-0.0414307,0.112971342
-0.0414307,0.104524887
-0.036065574,0.288235294
-0.034277198,0.121945701
-0.023546945,0.136726998
-0.023546945,0.297209653
-0.018181818,0.169457014
-0.018181818,0.150452489
-0.014605067,0.309879336
-0.011028316,0.186877828
-0.00923994,0.211161388
-0.003874814,0.197963801
-0.002086438,0.315158371
-0.000298063,0.345776772
-0.000298063,0.271870287
-0.000298063,0.2586727
-0.000298063,0.242307692
-0.000298063,0.228582202
0.001490313,0.29984917
0.001490313,0.285595777
0.003278689,0.311463047
0.005067064,0.33785822
0.005067064,0.323076923
