v2/u2*,zf/u* resolved part
0.005943536,0.001068702
0.029717682,0.001068702
0.089153046,0.000534351
0.124814264,0.000534351
0.166419019,0.001603053
0.219910847,0.001603053
0.243684993,0.001603053
0.29717682,0.348931298
0.29717682,0.343053435
0.29717682,0.001603053
0.320950966,0.334503817
0.338781575,0.328091603
0.350668648,0.002137405
0.356612184,0.320610687
0.356612184,0.314732824
0.362555721,0.305114504
0.38038633,0.298167939
0.404160475,0.289083969
0.421991085,0.283206107
0.421991085,0.002137405
0.433878158,0.279465649
0.469539376,0.271984733
0.475482912,0.002137405
0.481426449,0.265038168
0.493313522,0.003206107
0.517087667,0.255419847
0.52897474,0.003740458
0.546805349,0.245801527
0.552748886,0.004274809
0.588410104,0.236717557
0.600297177,0.229236641
0.600297177,0.004274809
0.624071322,0.004274809
0.641901932,0.221221374
0.647845468,0.213206107
0.659732541,0.207862595
0.659732541,0.199847328
0.665676077,0.004274809
0.713224368,0.191832061
0.719167905,0.18648855
0.731054978,0.00480916
0.76077266,0.181679389
0.76077266,0.005343511
0.778603269,0.174732824
0.796433878,0.006412214
0.82615156,0.168320611
0.873699851,0.16351145
0.873699851,0.008549618
0.921248143,0.155496183
0.939078752,0.010687023
0.950965825,0.146946565
0.992570579,0.145343511
0.992570579,0.01389313
1.010401189,0.138931298
1.052005944,0.133053435
1.081723626,0.017633588
1.087667162,0.124503817
1.12332838,0.020305344
1.14115899,0.117557252
1.153046062,0.022977099
1.164933135,0.109541985
1.194650817,0.102061069
1.200594354,0.02778626
1.218424963,0.092977099
1.224368499,0.028854962
1.236255572,0.084961832
1.248142645,0.033129771
1.254086181,0.040076336
1.265973254,0.075877863
1.27191679,0.066793893
1.283803863,0.057709924
1.283803863,0.050763359
