w2/u2*,zf/u* Nieuwstadt
0.035982009,0.337821483
0.035982009,0.344175492
0.04047976,0.349470499
0.049475262,0.32193646
0.053973013,0.309228442
0.062968516,0.290166415
0.067466267,0.280635401
0.094452774,0.255748865
0.094452774,0.266868381
0.112443778,0.244629349
0.125937031,0.229273828
0.134932534,0.207034796
0.134932534,0.218683812
0.152923538,0.193797277
0.175412294,0.183207262
0.188905547,0.172087746
0.202398801,0.348411498
0.220389805,0.157791225
0.224887556,0.148260212
0.229385307,0.345763994
0.251874063,0.33623298
0.251874063,0.136081694
0.27886057,0.128139183
0.292353823,0.330408472
0.305847076,0.11913767
0.314842579,0.113313162
0.323838081,0.319288956
0.341829085,0.104311649
0.350824588,0.309757943
0.368815592,0.096369138
0.382308846,0.301815431
0.40029985,0.087367625
0.409295352,0.081013616
0.413793103,0.29387292
0.431784108,0.286459909
0.436281859,0.076248109
0.467766117,0.071482602
0.472263868,0.275869894
0.485757121,0.270045386
0.517241379,0.065128593
0.539730135,0.255748865
0.557721139,0.249394856
0.571214393,0.060363086
0.584707646,0.241452345
0.607196402,0.055597579
0.616191904,0.231921331
0.620689655,0.226626324
0.656671664,0.051891074
0.661169415,0.219213313
0.683658171,0.211270802
0.715142429,0.201739788
0.71964018,0.047125567
0.737631184,0.192208775
0.746626687,0.045007564
0.76011994,0.186913767
0.8005997,0.178441755
0.809595202,0.042889561
0.832083958,0.167322239
0.877061469,0.153555219
0.895052474,0.037594554
0.904047976,0.145612708
0.931034483,0.132375189
0.953523238,0.03494705
0.962518741,0.122844175
0.989505247,0.113842663
1.011994003,0.032299546
1.016491754,0.100075643
1.016491754,0.096369138
1.029985007,0.086838124
1.056971514,0.029652042
1.061469265,0.074659607
1.065967016,0.064599092
1.074962519,0.05612708
1.088455772,0.047125567
1.115442279,0.040242057
1.128935532,0.027004539
1.133433283,0.005824508
1.16041979,0.036006051
1.169415292,0.024357035
1.178410795,0.009001513
1.214392804,0.031770045
1.227886057,0.006354009
1.24137931,0.023298033
1.259370315,0.006354009
1.268365817,0.027534039
1.290854573,0.008472012
1.299850075,0.022768533
1.317841079,0.024886536
1.340329835,0.021709531
1.353823088,0.022768533
1.362818591,0.022768533
1.371814093,0.012708018
1.416791604,0.017473525
1.421289355,0.021709531
1.457271364,0.012708018
1.457271364,0.016414523
1.488755622,0.01429652
1.502248876,0.017473525
1.502248876,0.015355522
1.542728636,0.014826021
1.646176912,0.010590015
