vw/u2*,zf/u* resolved part
-0.103571429,0.021148036
-0.103571429,0.015332326
-0.100595238,0.025377644
-0.099107143,0.02907855
-0.096130952,0.01163142
-0.091666667,0.007930514
-0.08422619,0.034365559
-0.082738095,0.004758308
-0.07827381,0.036480363
-0.07827381,0.002643505
-0.064880952,0.040181269
-0.054464286,0.041767372
-0.041071429,0.047054381
-0.039583333,0.347885196
-0.038095238,0.345241692
-0.033630952,0.337839879
-0.027678571,0.050755287
-0.024702381,0.334667674
-0.02172619,0.323036254
-0.01875,0.053927492
-0.017261905,0.329909366
-0.017261905,0.318277946
-0.008333333,0.057099698
-0.005357143,0.311933535
-0.000892857,0.305060423
0.006547619,0.299244713
0.008035714,0.062915408
0.01547619,0.290785498
0.018452381,0.281797583
0.018452381,0.068731118
0.021428571,0.278096677
0.024404762,0.275453172
0.025892857,0.269637462
0.028869048,0.072432024
0.033333333,0.26223565
0.034821429,0.25694864
0.037797619,0.076661631
0.039285714,0.246374622
0.04077381,0.237386707
0.045238095,0.232099698
0.04672619,0.084063444
0.049702381,0.223111782
0.052678571,0.090407855
0.054166667,0.215181269
0.055654762,0.206722054
0.060119048,0.199320242
0.063095238,0.191389728
0.063095238,0.096223565
0.069047619,0.180287009
0.069047619,0.176586103
0.069047619,0.102039275
0.073511905,0.107854985
0.075,0.168126888
0.075,0.160725076
0.07797619,0.113670695
0.079464286,0.12265861
0.083928571,0.147507553
0.083928571,0.135347432
0.083928571,0.129531722
0.085416667,0.151208459
