w2/u2*,zf/u* Schumann/Graf
0.017991004,0.350529501
0.049475262,0.332526475
0.049475262,0.347352496
0.058470765,0.338880484
0.067466267,0.318229955
0.076461769,0.290166415
0.089955022,0.272163389
0.103448276,0.249394856
0.107946027,0.23086233
0.116941529,0.327760968
0.134932534,0.211270802
0.166416792,0.180559758
0.166416792,0.191679274
0.170914543,0.321406959
0.179910045,0.169969743
0.206896552,0.158320726
0.229385307,0.307639939
0.265367316,0.131316188
0.265367316,0.1403177
0.269865067,0.297049924
0.296851574,0.114372163
0.310344828,0.285930408
0.328335832,0.280635401
0.328335832,0.103782148
0.373313343,0.090015129
0.409295352,0.075718608
0.413793103,0.270045386
0.413793103,0.265279879
0.431784108,0.259984871
0.449775112,0.254160363
0.463268366,0.249394856
0.48125937,0.068835098
0.503748126,0.240922844
0.539730135,0.05612708
0.562218891,0.230332829
0.575712144,0.223449319
0.5982009,0.051891074
0.629685157,0.214447806
0.661169415,0.208093797
0.665667166,0.043948563
0.706146927,0.19591528
0.715142429,0.037594554
0.737631184,0.189561271
0.782608696,0.180030257
0.818590705,0.170499244
0.818590705,0.003177005
0.832083958,0.031240545
0.863568216,0.162556732
0.88155922,0.029122542
0.886056972,0.004765507
0.908545727,0.154614221
0.913043478,0.025416036
0.949025487,0.008472012
0.949025487,0.023298033
0.967016492,0.144553707
0.976011994,0.010060514
0.985007496,0.018003026
0.99850075,0.135552194
1.016491754,0.015355522
1.029985007,0.011649017
1.043478261,0.012178517
1.056971514,0.124962179
1.083958021,0.116490166
1.106446777,0.11225416
1.146926537,0.105900151
1.191904048,0.096898638
1.236881559,0.085249622
1.268365817,0.078895613
1.28185907,0.072541604
1.313343328,0.068835098
1.313343328,0.065128593
1.349325337,0.058774584
1.380809595,0.054538578
1.416791604,0.052950076
1.43928036,0.047655068
1.475262369,0.042360061
1.524737631,0.037594554
1.619190405,0.032299546
1.623688156,0.003177005
1.655172414,0.029652042
1.682158921,0.026475038
1.682158921,0.004236006
1.722638681,0.00688351
1.731634183,0.022239032
1.763118441,0.008472012
1.790104948,0.018003026
1.79910045,0.010060514
1.821589205,0.010060514
1.826086957,0.015355522
1.862068966,0.013237519
1.88005997,0.011649017
