w2/u2*,zf/u* SGS part
0.002650957,2.34E-17
0.026509573,0.325825826
0.030927835,0.348423423
0.035346097,0.336861862
0.035346097,0.31006006
0.035346097,0.296921922
0.044182622,0.283258258
0.053019146,0.25487988
0.057437408,0.268543544
0.06185567,0.242792793
0.06185567,0.233858859
0.070692194,0.21493994
0.079528719,0.20548048
0.088365243,0.196021021
0.088365243,0.187612613
0.110456554,0.169219219
0.119293078,0.15503003
0.132547865,0.146621622
0.136966127,0.138213213
0.159057437,0.128753754
0.1634757,0.11981982
0.18556701,0.110885886
0.207658321,0.099324324
0.22533137,-0.000525526
0.234167894,0.091441441
0.269513991,0.082507508
0.300441826,0.075675676
0.326951399,0.069369369
0.357879234,0.060960961
0.406480118,0.05518018
0.441826215,0.049399399
0.47275405,0.001576577
0.499263623,0.043618619
0.552282769,0.039414414
0.614138439,0.03521021
0.662739323,-0.000525526
0.689248895,0.031006006
0.737849779,0.028903904
0.812960236,0.026276276
0.874815906,0.024174174
0.905743741,0.000525526
0.923416789,0.022072072
0.998527246,0.020495495
1.04712813,0.01996997
1.095729013,0.018918919
1.135493373,0.001576577
1.17083947,0.018393393
1.215022091,0.017342342
1.259204713,0.016816817
1.312223859,0.016291291
1.374079529,0.013138138
1.444771723,0.013663664
1.453608247,0.003153153
1.475699558,0.013138138
1.524300442,0.013138138
1.594992636,0.011561562
1.608247423,0.002627628
1.621502209,0.011561562
1.731958763,0.012087087
1.793814433,0.011561562
1.8910162,0.011036036
1.904270987,0.000525526
2.010309278,0.010510511
2.014727541,0.002627628
2.147275405,0.009459459
2.231222386,0.008408408
2.257731959,0.001576577
2.399116348,0.007882883
2.483063328,0.002102102
2.513991163,0.007882883
2.584683358,0.003678679
2.633284242,0.006831832
2.677466863,0.003678679
2.695139912,0.005780781
2.779086892,0.005255255
