v2/u2*,zf/u* Andren/Moeng
0.047976012,0.348944193
0.059970015,0.307767722
0.059970015,0.322021116
0.059970015,0.337330317
0.065967016,0.292986425
0.071964018,0.268702866
0.077961019,0.257088989
0.077961019,0.278733032
0.101949025,0.238084465
0.131934033,0.221191554
0.143928036,0.203770739
0.155922039,0.187405732
0.191904048,0.154675716
0.191904048,0.166817496
0.227886057,0.139366516
0.23988006,0.126168929
0.263868066,0.112971342
0.299850075,0.102941176
0.329835082,0.093438914
0.341829085,0.085520362
0.347826087,0.34841629
0.383808096,0.0760181
0.395802099,0.341553544
0.413793103,0.334162896
0.431784108,0.325188537
0.437781109,0.315158371
0.443778111,0.064932127
0.455772114,0.305128205
0.473763118,0.297737557
0.515742129,0.289819005
0.545727136,0.050678733
0.551724138,0.279788839
0.575712144,0.275037707
0.617691154,0.268174962
0.64167916,0.043815988
0.647676162,0.260784314
0.689655172,0.255505279
0.713643178,0.250754148
0.779610195,0.035369532
0.791604198,0.240723982
0.857571214,0.230693816
0.893553223,0.222775264
0.929535232,0.214856712
0.929535232,0.030618401
0.983508246,0.200075415
1.025487256,0.190573152
1.037481259,0.027978884
1.085457271,0.177903469
1.115442279,0.026395173
1.145427286,0.165233786
1.229385307,0.15361991
1.265367316,0.145173454
1.265367316,0.022699849
1.331334333,0.133031674
1.367316342,0.121945701
1.403298351,0.018476621
1.433283358,0.109276018
1.475262369,0.017420814
1.48125937,0.098190045
1.547226387,0.087104072
1.55922039,0.013197587
1.583208396,0.078657617
1.625187406,0.071794872
1.649175412,0.06387632
1.661169415,0.010030166
1.667166417,0.055429864
1.691154423,0.048567119
1.727136432,0.042760181
1.775112444,0.03800905
1.84107946,0.033785822
1.91904048,0.026923077
2.020989505,0.022171946
2.074962519,0.019004525
2.152923538,0.014781297
2.170914543,0.010558069
2.218890555,0.008974359
