w2/u2*,"zf/u* Mason/Brown,nbsct"
0.031484258,0.349470499
0.035982009,0.315582451
0.044977511,0.291754917
0.062968516,0.26633888
0.098950525,0.239334342
0.12143928,0.211800303
0.16191904,0.183736762
0.170914543,0.348411498
0.179910045,0.165204236
0.184407796,0.346293495
0.193403298,0.342057489
0.211394303,0.146142209
0.229385307,0.337291982
0.247376312,0.330408472
0.256371814,0.131316188
0.301349325,0.321406959
0.301349325,0.109606657
0.328335832,0.100075643
0.337331334,0.312934947
0.364317841,0.304462935
0.364317841,0.087367625
0.391304348,0.296520424
0.404797601,0.07677761
0.449775112,0.285930408
0.454272864,0.0698941
0.472263868,0.274281392
0.494752624,0.060363086
0.503748126,0.26580938
0.517241379,0.261043873
0.526236882,0.05612708
0.580209895,0.245688351
0.580209895,0.051891074
0.611694153,0.237216339
0.625187406,0.047655068
0.63868066,0.231391831
0.665667166,0.044478064
0.670164918,0.22397882
0.701649175,0.042889561
0.710644678,0.215506808
0.728635682,0.2102118
0.782608696,0.199621785
0.782608696,0.039183056
0.823088456,0.188502269
0.872563718,0.178441755
0.872563718,0.034417549
0.895052474,0.171558245
0.913043478,0.034417549
0.935532234,0.162556732
0.971514243,0.155143722
0.971514243,0.030181543
1.011994003,0.148789713
1.029985007,0.140847201
1.088455772,0.128139183
1.106446777,0.026475038
1.133433283,0.117019667
1.16041979,0.108018154
1.173913043,0.100075643
1.20089955,0.09107413
1.214392804,0.080484115
1.223388306,0.074130106
1.227886057,0.063540091
1.232383808,0.052420575
1.232383808,0.048184569
1.232383808,0.04183056
1.236881559,0.038653555
1.245877061,0.021709531
1.259370315,0.036006051
1.272863568,0.033358548
1.295352324,0.030711044
1.335832084,0.027534039
1.353823088,0.020121029
1.362818591,0.027534039
1.421289355,0.024886536
1.421289355,0.019062027
1.488755622,0.022768533
1.488755622,0.015885023
1.538230885,0.022239032
1.596701649,0.013237519
1.614692654,0.016944024
1.691154423,0.016944024
1.776611694,0.016944024
1.862068966,0.015885023
1.92053973,0.012708018
1.938530735,0.012708018
2.014992504,0.010060514
2.077961019,0.011119516
2.104947526,0.010590015
2.167916042,0.009001513
2.271364318,0.008472012
2.365817091,0.005295008
2.424287856,0.005824508
2.487256372,0.004236006
2.532233883,0.003706505
2.577211394,0.003706505
2.671664168,0.001588502
2.707646177,0.001059002
2.725637181,0.001059002
2.788605697,-0.000529501
