Horizontal wind,z
m/s,m
0.286054827,8.241758242
0.400476758,8.241758242
0.643623361,8.241758242
0.929678188,8.241758242
1.230035757,8.241758242
1.501787843,8.241758242
1.859356377,8.241758242
2.159713945,10.3021978
2.488676996,10.3021978
2.703218117,8.241758242
2.94636472,8.241758242
3.289630513,12.36263736
3.604290822,12.36263736
3.804529201,12.36263736
4.090584029,14.42307692
4.405244338,14.42307692
4.648390942,16.48351648
4.920143027,16.48351648
5.134684148,18.54395604
5.349225268,16.48351648
5.592371871,22.66483516
5.806912992,24.72527473
5.949940405,28.84615385
6.150178784,32.96703297
6.364719905,41.20879121
6.52205006,45.32967033
6.722288439,53.57142857
6.979737783,57.69230769
7.194278903,63.87362637
7.408820024,76.23626374
7.637663886,90.65934066
7.809296782,98.9010989
8.009535161,113.3241758
8.238379023,125.6868132
8.395709178,144.2307692
8.52443385,158.6538462
8.681764005,183.3791209
8.796185936,193.6813187
8.882002384,214.2857143
8.953516091,232.8296703
9.067938021,253.4340659
9.139451728,265.7967033
9.196662694,286.4010989
9.296781883,304.9450549
9.382598331,323.489011
9.439809297,335.8516484
9.511323004,366.7582418
9.611442193,393.543956
9.668653159,414.1483516
9.697258641,436.8131868
9.711561383,449.1758242
9.711561383,478.021978
9.711561383,500.6868132
9.711561383,510.989011
9.740166865,562.5
9.754469607,546.0164835
9.797377831,591.3461538
9.840286055,618.1318681
9.840286055,640.7967033
9.89749702,669.6428571
9.940405244,694.3681319
9.969010727,708.7912088
10.04052443,729.3956044
10.11203814,752.0604396
10.14064362,768.543956
10.19785459,789.1483516
10.25506555,811.8131868
10.25506555,822.1153846
10.29797378,848.9010989
10.31227652,873.6263736
10.36948749,902.4725275
10.38379023,933.3791209
10.38379023,968.4065934
10.41239571,997.2527473
10.44100119,1028.159341
10.44100119,1355.769231
10.45530393,1044.642857
10.45530393,1160.027473
10.45530393,1388.736264
10.45530393,1419.642857
10.46960667,1065.247253
10.46960667,1096.153846
10.46960667,1122.93956
10.46960667,1135.302198
10.46960667,1184.752747
10.46960667,1215.659341
10.46960667,1242.445055
10.46960667,1318.681319
10.48390942,1273.351648
10.48390942,1454.67033
10.49821216,1481.456044
