Direction,z
degrees,m
1.764004768,1479.310345
1.907032181,1464.827586
1.954707986,1452.413793
2.026221692,1440
2.050059595,1437.931034
2.073897497,1434.827586
2.097735399,1430.689655
2.121573302,1426.551724
2.145411204,1422.413793
2.169249106,1418.275862
2.193087008,1414.137931
2.216924911,1410
2.240762813,1405.862069
2.264600715,1401.724138
2.288438617,1398.62069
2.31227652,1395.517241
2.336114422,1391.37931
2.359952324,1387.241379
2.383790226,1384.137931
2.407628129,1381.034483
2.431466031,1376.896552
2.455303933,1372.758621
2.479141836,1367.586207
2.502979738,1363.448276
2.52681764,1357.241379
2.550655542,1351.034483
2.574493445,1345.862069
2.598331347,1339.655172
2.622169249,1333.448276
2.646007151,1328.275862
2.669845054,1322.068966
2.693682956,1316.896552
2.717520858,1311.724138
2.74135876,1305.517241
2.765196663,1300.344828
2.789034565,1293.103448
2.812872467,1286.896552
2.836710369,1278.62069
2.860548272,1270.344828
2.884386174,1262.068966
2.908224076,1254.827586
2.932061979,1248.62069
2.955899881,1241.37931
2.979737783,1234.137931
3.003575685,1227.931034
3.027413588,1221.724138
3.05125149,1215.517241
3.075089392,1209.310345
3.098927294,1202.068966
3.122765197,1194.827586
3.146603099,1188.62069
3.170441001,1183.448276
3.194278903,1177.241379
3.218116806,1173.103448
3.241954708,1166.896552
3.26579261,1162.758621
3.289630513,1156.551724
3.313468415,1152.413793
3.337306317,1146.206897
3.361144219,1142.068966
3.384982122,1135.862069
3.408820024,1131.724138
3.432657926,1125.517241
3.456495828,1121.37931
3.480333731,1115.172414
3.504171633,1110
3.528009535,1104.827586
3.551847437,1099.655172
3.57568534,1094.482759
3.599523242,1090.344828
3.623361144,1085.172414
3.647199046,1080
3.671036949,1075.862069
3.694874851,1069.655172
3.718712753,1065.517241
3.742550656,1060.344828
3.766388558,1055.172414
3.79022646,1051.034483
3.814064362,1045.862069
3.837902265,1040.689655
3.861740167,1036.551724
3.885578069,1031.37931
3.909415971,1027.241379
3.933253874,1023.103448
3.957091776,1018.965517
3.980929678,1014.827586
4.00476758,1010.689655
4.028605483,1005.517241
4.052443385,1001.37931
4.076281287,997.2413793
4.10011919,993.1034483
4.123957092,988.9655172
4.147794994,985.862069
4.171632896,981.7241379
4.195470799,977.5862069
4.219308701,973.4482759
4.243146603,969.3103448
4.266984505,965.1724138
4.290822408,961.0344828
4.31466031,956.8965517
4.338498212,952.7586207
4.362336114,948.6206897
4.386174017,944.4827586
4.410011919,940.3448276
4.433849821,937.2413793
4.457687723,934.137931
4.481525626,930
4.505363528,925.862069
4.52920143,921.7241379
4.553039333,917.5862069
4.576877235,913.4482759
4.600715137,909.3103448
4.624553039,905.1724138
4.648390942,901.0344828
4.672228844,896.8965517
4.696066746,892.7586207
4.719904648,888.6206897
4.743742551,884.4827586
4.767580453,880.3448276
4.791418355,876.2068966
4.815256257,872.0689655
4.83909416,868.9655172
4.862932062,865.862069
4.886769964,861.7241379
4.910607867,857.5862069
4.934445769,853.4482759
4.958283671,849.3103448
4.982121573,845.1724138
5.005959476,841.0344828
5.029797378,837.9310345
5.05363528,834.8275862
5.077473182,830.6896552
5.101311085,827.5862069
5.125148987,824.4827586
5.148986889,820.3448276
5.172824791,816.2068966
5.196662694,813.1034483
5.220500596,810
5.244338498,806.8965517
5.2681764,802.7586207
5.292014303,799.6551724
5.315852205,796.5517241
5.339690107,793.4482759
5.36352801,790.3448276
5.387365912,787.2413793
5.411203814,784.137931
5.435041716,781.0344828
5.458879619,777.9310345
5.482717521,774.8275862
5.506555423,771.7241379
5.530393325,768.6206897
5.554231228,765.5172414
5.57806913,763.4482759
5.601907032,761.3793103
5.625744934,757.2413793
5.649582837,755.1724138
5.673420739,753.1034483
5.697258641,748.9655172
5.721096544,746.8965517
5.744934446,744.8275862
5.768772348,742.7586207
5.79261025,738.6206897
5.816448153,736.5517241
5.840286055,734.4827586
5.864123957,731.3793103
5.887961859,728.2758621
5.911799762,726.2068966
5.935637664,724.137931
5.959475566,722.0689655
5.983313468,720
6.007151371,717.9310345
6.030989273,714.8275862
6.054827175,711.7241379
6.078665077,709.6551724
