v2/u2*,zf/u* total variance
0.017830609,-0.000534351
0.166419019,0.001068702
0.29717682,0.000534351
0.338781575,0.348931298
0.338781575,0.344656489
0.338781575,0.338244275
0.368499257,0.332900763
0.374442793,0.32648855
0.374442793,0.320076336
0.38038633,0.315267176
0.386329866,0.000534351
0.392273403,0.308320611
0.398216939,0.002137405
0.404160475,0.302977099
0.427934621,0.297099237
0.433878158,0.291755725
0.457652303,0.284274809
0.481426449,0.280534351
0.505200594,0.273587786
0.517087667,0.002137405
0.534918276,0.265038168
0.546805349,0.002137405
0.558692422,0.259694656
0.582466568,0.253282443
0.600297177,0.246335878
0.630014859,0.239389313
0.659732541,0.231374046
0.67756315,0.226564885
0.683506686,0.001068702
0.689450223,0.223358779
0.725111441,0.214274809
0.725111441,0.001068702
0.736998514,0.207328244
0.754829123,0.199312977
0.784546805,0.193435115
0.820208024,0.185419847
0.820208024,0.001603053
0.843982169,0.001603053
0.849925706,0.180076336
0.891530461,0.174198473
0.950965825,0.001603053
0.956909361,0.168320611
0.986627043,0.001603053
0.998514116,0.162977099
1.046062407,0.157099237
1.075780089,0.152290076
1.081723626,0.001068702
1.111441308,0.145343511
1.153046062,0.14
1.158989599,0.000534351
1.20653789,0.132519084
1.212481426,0.002137405
1.248142645,0.127175573
1.319465082,0.119160305
1.319465082,0.002137405
1.337295691,0.111679389
1.396731055,0.103664122
1.414561664,0.09778626
1.414561664,0.002137405
1.468053492,0.08870229
1.497771174,0.002671756
1.551263001,0.079618321
1.598811293,0.072671756
1.634472511,0.002671756
1.640416048,0.063053435
1.658246657,0.002671756
1.664190193,0.057175573
1.699851412,0.052900763
1.753343239,0.043816794
1.806835067,0.03740458
1.836552749,0.002671756
1.901931649,0.031526718
1.913818722,0.002137405
1.931649331,0.029389313
1.961367013,0.002137405
1.973254086,0.001603053
1.991084695,0.024045802
2.056463596,0.021908397
2.062407132,0.001603053
2.109955423,0.002671756
2.145616642,0.020305344
2.19910847,0.01870229
2.210995542,0.002671756
2.294205052,0.016564885
2.323922734,0.002671756
2.335809807,0.015496183
2.407132244,0.002671756
2.41307578,0.01389313
2.466567608,0.002671756
2.484398217,0.012290076
2.549777117,0.001068702
2.609212481,0.001603053
2.621099554,0.011221374
2.674591382,0.001603053
2.7102526,0.012290076
2.722139673,0.002137405
2.805349183,0.002671756
2.817236256,0.010687023
2.852897474,0.003206107
2.894502229,0.003206107
2.912332838,0.009618321
2.953937593,0.003206107
2.995542348,0.003206107
3.013372957,0.009618321
3.043090639,0.003206107
3.102526003,0.009618321
3.108469539,0.002671756
3.144130758,0.002671756
3.161961367,0.008015267
3.185735513,0.003206107
3.209509658,0.002671756
3.233283804,0.003206107
3.257057949,0.008549618
3.268945022,0.003206107
3.32243685,0.008015267
3.334323923,0.003206107
3.393759287,0.006412214
3.40564636,0.003740458
3.417533432,0.003740458
3.453194651,0.006412214
3.476968796,0.003740458
3.500742942,0.005877863
3.524517088,0.003740458
3.53640416,0.006412214
3.578008915,0.003206107
3.607726597,0.005877863
3.643387816,0.003206107
3.661218425,0.005877863
3.690936107,0.004274809
3.696879643,0.005343511
3.738484398,0.003740458
3.774145617,0.00480916
