u2/u2*,"zf/u* Mason/Brown,bsct"
-0.012012012,0.332526475
-0.012012012,0.337821483
-0.012012012,0.347352496
0.012012012,0.266868381
0.012012012,0.284341906
0.012012012,0.298108926
0.012012012,0.308698941
0.012012012,0.316111952
0.024024024,0.34311649
0.048048048,0.233509834
0.048048048,0.254160363
0.072072072,0.20279879
0.072072072,0.218154312
0.108108108,0.338880484
0.108108108,0.186384266
0.156156156,0.148789713
0.156156156,0.161497731
0.156156156,0.172617247
0.204204204,0.337821483
0.204204204,0.136611195
0.216216216,0.124432678
0.228228228,0.120726172
0.252252252,0.335173979
0.252252252,0.322995461
0.252252252,0.312405446
0.276276276,0.331467474
0.288288288,0.302344932
0.288288288,0.108018154
0.3003003,0.099546142
0.348348348,0.291754917
0.348348348,0.086308623
0.372372372,0.070953101
0.372372372,0.07677761
0.408408408,0.282223903
0.432432432,0.27269289
0.48048048,0.062481089
0.504504505,0.263691377
0.528528529,0.052950076
0.552552553,0.04924357
0.564564565,0.043948563
0.576576577,0.040771558
0.588588589,0.25204236
0.636636637,0.035476551
0.672672673,0.243040847
0.708708709,0.029122542
0.732732733,0.232450832
0.792792793,0.025416036
0.816816817,0.224508321
0.864864865,0.214977307
0.876876877,0.020121029
0.960960961,0.016944024
0.972972973,0.203857791
1.009009009,0.196444781
1.081081081,0.188502269
1.117117117,0.183736762
1.177177177,0.176323752
1.249249249,0.171028744
1.249249249,0.012708018
1.369369369,0.163086233
1.417417417,0.157261725
1.489489489,0.008472012
1.501501502,0.150907716
1.585585586,0.145612708
1.621621622,0.007942511
1.705705706,0.138729198
1.813813814,0.131845688
1.885885886,0.124962179
1.897897898,0.005295008
2.042042042,0.11913767
2.09009009,0.003706505
2.126126126,0.110136157
2.174174174,0.004236006
2.33033033,0.004765507
2.378378378,0.099016641
2.486486486,0.001059002
2.582582583,0.088426626
2.666666667,1.21E-17
2.726726727,0.081543116
2.846846847,0.001588502
2.894894895,0.074130106
3.039039039,0.066187595
3.159159159,0.060892587
3.387387387,0.052950076
3.507507508,0.047655068
3.591591592,0.000529501
3.675675676,0.000529501
3.75975976,0.039183056
3.963963964,0.001059002
4,0.031240545
4.264264264,0.024886536
4.324324324,0.001059002
4.48048048,0.019062027
4.540540541,0.003706505
4.780780781,0.013237519
4.792792793,0.004236006
4.960960961,0.012178517
4.996996997,0.002118003
5.105105105,0.002118003
5.177177177,0.009001513
5.297297297,1.21E-17
5.405405405,0.005824508
5.405405405,0.001588502
5.501501502,0.003177005
