w2/u2*,zf/u* total variance
0.0010162,2.34E-17
0.101620029,0.347897898
0.101620029,0.342642643
0.106038292,0.337912913
0.119293078,0.001576577
0.136966127,0.33475976
0.159057437,0.330555556
0.1634757,0.001051051
0.172312224,0.325825826
0.189985272,0.316891892
0.189985272,0.001051051
0.220913108,0.001051051
0.22533137,0.312162162
0.229749632,0.306381381
0.243004418,0.297972973
0.278350515,0.290615616
0.28718704,0.000525526
0.300441826,0.283783784
0.318114875,0.27484985
0.344624448,0.26539039
0.353460972,0.000525526
0.379970545,0.252777778
0.402061856,0.000525526
0.41089838,0.23963964
0.432989691,0.000525526
0.450662739,0.227027027
0.481590574,0.213363363
0.494845361,0.000525526
0.525773196,0.000525526
0.543446244,0.200750751
0.587628866,0.185510511
0.614138439,0.17972973
0.618556701,0.001051051
0.653902798,0.167117117
0.684830633,0.000525526
0.69808542,0.158708709
0.746686303,0.148198198
0.786450663,0.142942943
0.817378498,0.001576577
0.826215022,0.131906907
0.857142857,0.121396396
0.892488954,0.107732733
0.892488954,0.001576577
0.918998527,0.097222222
0.941089838,0.002102102
0.963181149,0.085135135
1.00736377,0.074099099
1.033873343,0.001576577
1.051546392,0.065690691
1.086892489,0.055705706
1.104565538,0.047822823
1.135493373,0.040990991
1.135493373,0.032057057
1.157584683,0.001576577
1.184094256,0.025750751
1.210603829,0.023123123
1.223858616,0.001051051
1.285714286,0.021021021
1.303387334,0.001051051
1.369661267,0.018918919
1.409425626,0.001576577
1.449189985,0.016816817
1.466863034,0.001576577
1.506627393,0.01524024
1.54197349,0.002102102
1.564064801,0.014714715
1.634756996,0.012612613
1.648011782,0.003153153
1.687776141,0.003153153
1.714285714,0.012087087
1.771723122,0.012612613
1.784977909,0.001576577
1.820324006,0.002102102
1.873343152,0.002627628
1.877761414,0.012087087
1.957290133,0.002102102
1.974963181,0.009984985
2.023564065,0.003678679
2.081001473,0.009984985
2.085419735,0.003678679
2.138438881,0.011561562
2.164948454,0.002627628
2.226804124,0.009984985
2.244477172,0.002627628
2.372606775,0.008933934
2.412371134,0.002102102
2.447717231,0.008933934
2.509572901,0.003153153
2.549337261,0.008933934
2.580265096,0.003678679
2.655375552,0.006306306
2.655375552,0.002627628
2.71281296,0.006306306
2.77466863,0.005255255
2.796759941,0.003153153
2.845360825,0.005780781
2.863033873,0.003153153
2.898379971,0.00472973
2.898379971,0.003153153
2.93814433,0.004204204
2.946980854,0.003678679
2.986745214,0.004204204
