v2/u2*,"zf/u* Mason/Brown,bsct"
-0.005997001,0.342081448
0.017991004,0.33785822
0.017991004,0.343137255
0.035982009,0.323604827
0.047976012,0.308295626
0.047976012,0.317797888
0.059970015,0.341025641
0.089955022,0.275565611
0.089955022,0.289819005
0.101949025,0.2586727
0.11994003,0.249170437
0.125937031,0.232277526
0.131934033,0.341025641
0.137931034,0.223831071
0.149925037,0.210105581
0.16191904,0.195324284
0.167916042,0.185294118
0.191904048,0.175791855
0.197901049,0.166817496
0.209895052,0.338386124
0.233883058,0.152564103
0.251874063,0.136726998
0.263868066,0.12933635
0.293853073,0.335218703
0.311844078,0.111915535
0.311844078,0.123001508
0.335832084,0.316214178
0.341829085,0.101357466
0.365817091,0.333107089
0.365817091,0.326772247
0.371814093,0.301960784
0.395802099,0.092911011
0.407796102,0.084992459
0.413793103,0.296153846
0.443778111,0.075490196
0.449775112,0.288763198
0.473763118,0.067043741
0.485757121,0.060708899
0.509745127,0.278733032
0.52173913,0.057013575
0.545727136,0.271870287
0.569715142,0.046983409
0.575712144,0.262895928
0.605697151,0.043815988
0.623688156,0.254449472
0.623688156,0.036953243
0.695652174,0.247586727
0.707646177,0.241251885
0.707646177,0.032730015
0.755622189,0.232277526
0.779610195,0.02428356
0.803598201,0.224358974
0.851574213,0.021644042
0.857571214,0.215912519
0.905547226,0.210105581
0.923538231,0.017948718
0.941529235,0.203242836
0.989505247,0.193740573
1.007496252,0.015309201
1.073463268,0.185822021
1.109445277,0.012669683
1.127436282,0.179487179
1.163418291,0.173680241
1.193403298,0.164705882
1.211394303,0.011085973
1.235382309,0.157315234
1.259370315,0.010030166
1.265367316,0.150452489
1.31934033,0.010030166
1.325337331,0.142006033
1.36131934,0.135143288
1.391304348,0.131975867
1.391304348,0.008446456
1.43928036,0.127224736
1.48125937,0.008446456
1.487256372,0.120889894
1.529235382,0.006334842
1.553223388,0.115082956
1.6011994,0.107692308
1.643178411,0.102413273
1.691154423,0.098190045
1.691154423,0.005806938
1.72113943,0.093438914
1.751124438,0.088687783
1.793103448,0.005806938
1.79910045,0.083936652
1.853073463,0.075490196
1.907046477,0.005806938
1.949025487,0.064932127
2.026986507,0.055957768
2.032983508,0.003695324
2.110944528,0.003695324
2.116941529,0.049622926
2.176911544,0.043288084
2.206896552,0.002111614
2.260869565,0.038536953
2.308845577,0.002111614
2.350824588,0.032730015
2.410794603,0.002111614
2.44077961,0.00158371
2.446776612,0.027978884
2.482758621,0.023755656
2.506746627,0.001055807
2.590704648,0.021116139
2.632683658,0.001055807
2.716641679,0.017420814
2.794602699,0.01372549
2.854572714,0.013197587
2.902548726,0.012669683
2.986506747,0.010030166
3.058470765,0.010030166
3.112443778,-0.001055807
3.130434783,0.008974359
3.232383808,-0.001055807
3.268365817,0.007918552
3.322338831,4.88E-18
3.35832084,0.005806938
3.382308846,0.00158371
3.448275862,0.005279035
3.448275862,0.002111614
3.526236882,0.003695324
3.526236882,0.000527903
3.586206897,0.000527903
3.610194903,0.003695324
3.664167916,0.00158371
3.688155922,0.003695324
3.71814093,0.002111614
3.76011994,0.003695324
3.820089955,0.003167421
3.820089955,0.001055807
3.88005997,0.002111614
