vw/u2*,"zf/u* Mason/Brown,nbsct"
-0.233632287,4.51E-17
-0.203736921,0.002118003
-0.170852018,0.005295008
-0.158893871,0.003177005
-0.134977578,0.010060514
-0.121524664,0.010060514
-0.109566517,0.013237519
-0.075186846,0.018532526
-0.069207773,0.018532526
-0.051270553,0.021709531
-0.028849028,0.022239032
-0.021375187,0.027534039
-0.012406577,0.025416036
-0.007922272,0.032829047
0.002541106,0.028593041
0.007025411,0.32193646
0.008520179,0.310287443
0.008520179,0.297049924
0.008520179,0.263691377
0.008520179,0.045007564
0.010014948,0.029122542
0.010014948,0.333055976
0.013004484,0.245688351
0.014499253,0.138199697
0.014499253,0.121785174
0.014499253,0.113842663
0.014499253,0.052420575
0.017488789,0.345763994
0.017488789,0.227685325
0.017488789,0.210741301
0.017488789,0.192738275
0.017488789,0.177382753
0.017488789,0.153555219
0.021973094,0.108547655
0.021973094,0.091603631
0.021973094,0.081543116
0.021973094,0.065128593
0.035426009,0.032299546
0.048878924,0.35
0.048878924,0.036535552
0.053363229,0.345234493
0.057847534,0.342586989
0.06980568,0.33623298
0.074289985,0.334114977
0.077279522,0.04183056
0.083258595,0.328290469
0.090732436,0.323524962
0.090732436,0.048184569
0.098206278,0.316111952
0.104185351,0.310816944
0.113153961,0.306051437
0.122122571,0.054009077
0.123617339,0.301815431
0.125112108,0.297579425
0.126606876,0.05612708
0.131091181,0.291754917
0.138565022,0.062481089
0.141554559,0.287518911
0.141554559,0.065658094
0.144544096,0.285930408
0.155007474,0.278517398
0.159491779,0.274810893
0.159491779,0.069364599
0.163976084,0.268456884
0.165470852,0.26633888
0.168460389,0.073071104
0.17593423,0.261043873
0.17593423,0.25892587
0.177428999,0.07677761
0.18490284,0.255748865
0.18490284,0.253630862
0.186397608,0.080484115
0.192376682,0.245688351
0.196860987,0.241452345
0.196860987,0.086838124
0.208819133,0.23086233
0.210313901,0.095839637
0.213303438,0.224508321
0.213303438,0.101664145
0.219282511,0.216565809
0.222272048,0.108547655
0.223766816,0.212329803
0.228251121,0.208093797
0.228251121,0.201739788
0.231240658,0.117549168
0.234230194,0.193797277
0.238714499,0.18214826
0.238714499,0.173676248
0.240209268,0.129727685
0.243198804,0.165733737
0.244693572,0.155143722
0.244693572,0.144024206
