u2/u2*,zf/u* Schumann/Graf
0.048048048,0.278517398
0.048048048,0.337291982
0.048048048,0.348411498
0.06006006,0.299697428
0.06006006,0.318229955
0.072072072,0.220272315
0.084084084,0.241452345
0.084084084,0.25892587
0.096096096,0.200151286
0.144144144,0.172617247
0.168168168,0.152496218
0.204204204,0.132375189
0.264264264,0.111195159
0.3003003,0.333585477
0.336336336,0.093721634
0.348348348,0.347881997
0.348348348,0.324054463
0.372372372,0.083131619
0.384384384,0.312934947
0.384384384,0.073071104
0.42042042,0.001059002
0.432432432,0.297049924
0.504504505,0.285400908
0.516516517,0.064599092
0.528528529,0.274810893
0.564564565,0.266868381
0.564564565,0.05612708
0.600600601,0.004765507
0.648648649,0.25892587
0.648648649,0.04871407
0.708708709,0.250983359
0.720720721,0.043419062
0.768768769,0.24515885
0.780780781,0.039183056
0.792792793,0.234039334
0.816816817,0.224508321
0.852852853,0.036006051
0.876876877,0.033888048
0.900900901,0.010060514
0.924924925,0.215506808
0.948948949,0.026475038
0.972972973,0.2102118
1.021021021,0.021709531
1.033033033,0.205446293
1.033033033,0.01429652
1.189189189,0.18903177
1.285285285,0.181089259
1.357357357,0.169969743
1.477477477,0.16096823
1.525525526,0.153025719
1.753753754,0.138729198
1.90990991,0.127080182
2.066066066,0.118608169
2.222222222,0.110136157
2.342342342,0.102723147
2.45045045,0.097428139
2.558558559,0.091603631
2.726726727,0.08366112
2.870870871,0.07677761
3.087087087,0.070423601
3.279279279,0.064599092
3.51951952,0.058774584
3.603603604,0.000529501
3.795795796,0.050832073
3.915915916,0.001059002
4.072072072,0.046066566
4.252252252,0.043419062
4.324324324,0.001059002
4.492492492,0.001059002
4.516516517,0.038653555
4.660660661,0.002118003
4.744744745,0.03494705
4.816816817,0.002118003
4.984984985,0.029652042
4.984984985,0.002118003
5.153153153,0.002118003
5.297297297,0.023827534
5.297297297,0.002118003
5.441441441,0.002118003
5.573573574,0.02118003
5.573573574,0.003177005
5.66966967,0.003177005
5.801801802,0.003177005
5.873873874,0.019062027
5.933933934,0.004236006
6.054054054,0.004765507
6.198198198,0.016414523
6.354354354,0.005824508
6.45045045,0.015885023
6.45045045,0.004765507
6.606606607,0.006354009
6.678678679,0.015355522
6.726726727,0.008472012
6.858858859,0.010060514
6.882882883,0.01376702
7.039039039,0.012708018
