u2/u2*,zf/u* resolved part
0.083457526,-6.51E-18
0.333830104,0.350537634
0.333830104,0.338709677
0.357675112,0.332795699
0.357675112,-0.000537634
0.369597615,0.32311828
0.41728763,0.315591398
0.429210134,0.310752688
0.429210134,-6.51E-18
0.464977645,0.303763441
0.488822653,0.297849462
0.51266766,0.291397849
0.536512668,0.284408602
0.584202683,0.279032258
0.619970194,0.274193548
0.631892697,-0.000537634
0.655737705,0.266666667
0.679582712,0.258064516
0.727272727,0.252150538
0.751117735,0.244623656
0.751117735,0.000537634
0.763040238,0.23655914
0.79880775,0.232258065
0.846497765,0.224193548
0.870342772,0.220967742
0.882265276,0.216666667
0.906110283,-6.51E-18
0.918032787,0.210215054
0.965722802,0.203763441
0.989567809,0.197849462
1.037257824,0.190860215
1.037257824,0.000537634
1.108792846,0.000537634
1.12071535,0.182258065
1.168405365,0.173655914
1.180327869,0.000537634
1.204172876,0.169354839
1.228017884,0.162365591
1.251862891,0.000537634
1.287630402,0.159139785
1.31147541,0.152150538
1.323397914,0.001075269
1.347242921,0.150537634
1.359165425,0.144623656
1.430700447,0.138172043
1.430700447,-6.51E-18
1.478390462,0.134408602
1.514157973,-6.51E-18
1.585692996,0.001075269
1.609538003,0.127419355
1.669150522,0.122580645
1.740685544,0.118817204
1.752608048,0.001612903
1.871833085,0.111827957
1.979135618,0.104301075
1.991058122,0.002150538
2.110283159,0.001612903
2.146050671,0.098924731
2.301043219,0.090860215
2.301043219,0.002150538
2.420268256,0.08655914
2.43219076,0.001075269
2.575260805,0.079569892
2.575260805,0.002150538
2.718330849,0.002150538
2.766020864,0.072043011
2.825633383,0.001612903
2.956780924,0.066666667
2.968703428,0.003225806
3.123695976,0.061827957
3.171385991,0.003225806
3.242921013,0.058064516
3.326378539,0.003763441
3.409836066,0.055913978
3.409836066,0.002688172
3.600596125,0.051075269
3.600596125,0.003763441
3.74366617,0.003225806
3.803278689,0.047849462
3.946348733,0.003225806
3.994038748,0.044086022
4.053651267,0.004301075
4.113263785,0.004301075
4.208643815,0.041397849
4.244411326,0.00483871
4.35171386,0.005376344
4.411326379,0.005913978
4.435171386,0.038709677
4.530551416,0.005913978
4.602086438,0.035483871
4.637853949,0.006989247
4.76900149,0.006989247
4.804769001,0.032795699
4.912071535,0.008064516
4.923994039,0.030107527
5.067064083,0.029569892
5.102831595,0.010215054
5.222056632,0.011290323
5.233979136,0.02688172
5.317436662,0.024731183
5.329359165,0.012365591
5.412816692,0.021505376
5.436661699,0.017204301
5.436661699,0.013978495
