w2/u2*,zf/u* Andren/Moeng
0.004497751,0.348940998
0.044977511,0.342586989
0.044977511,0.346822995
0.049475262,0.333055976
0.053973013,0.304992436
0.053973013,0.31505295
0.067466267,0.34311649
0.071964018,0.260514372
0.071964018,0.275340393
0.071964018,0.283812405
0.071964018,0.288048411
0.089955022,0.240922844
0.098950525,0.33570348
0.103448276,0.229273828
0.116941529,0.212329803
0.125937031,0.32934947
0.139430285,0.201210287
0.148425787,0.192208775
0.16191904,0.177912254
0.175412294,0.319818457
0.179910045,0.168910741
0.197901049,0.151966717
0.206896552,0.316111952
0.224887556,0.141376702
0.23838081,0.130786687
0.247376312,0.310816944
0.247376312,0.121785174
0.265367316,0.11225416
0.283358321,0.306580938
0.301349325,0.300226929
0.301349325,0.102723147
0.31934033,0.094251135
0.332833583,0.294931921
0.346326837,0.088956127
0.350824588,0.08366112
0.35982009,0.290166415
0.35982009,0.080484115
0.377811094,0.078895613
0.386806597,0.284341906
0.395802099,0.072012103
0.409295352,0.278517398
0.409295352,0.066187595
0.436281859,0.27322239
0.445277361,0.06301059
0.463268366,0.268456884
0.48125937,0.05612708
0.494752624,0.263161876
0.517241379,0.25892587
0.52173913,0.052950076
0.530734633,0.050302572
0.544227886,0.250453858
0.584707646,0.243570348
0.5982009,0.047125567
0.620689655,0.232450832
0.665667166,0.226096823
0.701649175,0.04183056
0.71964018,0.040242057
0.724137931,0.21709531
0.746626687,0.211270802
0.76011994,0.203857791
0.782608696,0.035476551
0.791604198,0.194856278
0.818590705,0.18903177
0.863568216,0.179500756
0.877061469,0.03494705
0.908545727,0.168910741
0.935532234,0.158850227
0.953523238,0.031240545
0.971514243,0.150378215
0.994002999,0.139258699
1.011994003,0.050302572
1.025487256,0.127609682
1.025487256,0.057715582
1.029985007,0.043419062
1.03898051,0.065128593
1.052473763,0.114901664
1.056971514,0.102723147
1.056971514,0.038653555
1.061469265,0.095839637
1.061469265,0.071482602
1.065967016,0.087367625
1.065967016,0.079425113
1.070464768,0.027004539
1.124437781,0.035476551
1.169415292,0.031240545
1.191904048,0.023827534
1.223388306,0.02806354
1.24137931,0.023298033
1.286356822,0.025416036
1.317841079,0.019062027
1.326836582,0.024357035
1.380809595,0.018003026
1.443778111,0.020121029
1.475262369,0.01429652
1.515742129,0.018003026
1.529235382,0.01376702
1.583208396,0.012178517
1.610194903,0.016414523
1.704647676,0.011649017
1.709145427,0.015885023
