uw/u2*,zf/u* resolved part
-0.673716012,0.04461305
-0.671903323,0.04939302
-0.668277946,0.037708649
-0.664652568,0.055235205
-0.659214502,0.06107739
-0.650151057,0.03292868
-0.639274924,0.065326252
-0.637462236,0.029210926
-0.632024169,0.070637329
-0.624773414,0.074886191
-0.61570997,0.026555387
-0.608459215,0.07754173
-0.601208459,0.081259484
-0.592145015,0.083915023
-0.583081571,0.023899848
-0.577643505,0.088163885
-0.572205438,0.022837633
-0.561329305,0.091350531
-0.550453172,0.096130501
-0.53776435,0.02124431
-0.534138973,0.101441578
-0.521450151,0.107814871
-0.505135952,0.019119879
-0.503323263,0.111001517
-0.488821752,0.114719272
-0.468882175,0.118968134
-0.465256798,0.01646434
-0.459818731,0.124279211
-0.441691843,0.129059181
-0.432628399,0.015402124
-0.423564955,0.132245827
-0.409063444,0.13383915
-0.396374622,0.013808801
-0.389123867,0.141805766
-0.367371601,0.146054628
-0.361933535,0.012215478
-0.354682779,0.150834598
-0.345619335,0.15508346
-0.334743202,0.011153263
-0.325679758,0.160394537
-0.325679758,0.011153263
-0.302114804,0.169954476
-0.29305136,0.009559939
-0.267673716,0.182169954
-0.267673716,0.009559939
-0.26223565,0.187481032
-0.242296073,0.191198786
-0.229607251,0.007435508
-0.220543807,0.201820941
-0.209667674,0.007435508
-0.206042296,0.208194234
-0.198791541,0.214036419
-0.182477341,0.222534143
-0.177039275,0.006904401
-0.171601208,0.231031866
-0.15347432,0.236342944
-0.148036254,0.245902883
-0.140785498,0.004248862
-0.12265861,0.259711684
-0.12265861,0.004248862
-0.119033233,0.267147193
-0.104531722,0.003717754
-0.100906344,0.275644917
-0.099093656,0.280424886
-0.086404834,0.289984825
-0.079154079,0.002124431
-0.07734139,0.295295903
-0.071903323,0.304855842
-0.057401813,0.311229135
-0.055589124,0.001593323
-0.04652568,0.318133536
-0.041087613,0.324506829
-0.033836858,0.331411229
-0.026586103,0.001593323
-0.022960725,0.335660091
-0.01570997,0.340440061
-0.013897281,0.348937785
