?M,"zf/u* Mason/Brown,bsct"
0.92519084,0.008091603
0.92519084,0.006564885
0.934351145,0.009923664
0.934351145,0.005343511
0.93740458,0.012366412
0.940458015,0.00351145
0.94351145,0.01389313
0.952671756,0.017251908
0.952671756,0.015572519
0.952671756,0.002900763
0.961832061,0.018320611
0.970992366,0.001984733
0.974045802,0.019847328
0.992366412,0.001374046
0.995419847,0.021832061
0.998473282,0.001221374
1.004580153,0.023206107
1.019847328,0.024274809
1.038167939,0.02610687
1.050381679,0.027175573
1.080916031,0.029618321
1.114503817,0.031908397
1.135877863,0.034198473
1.151145038,0.035572519
1.172519084,0.037557252
1.2,0.039694656
1.218320611,0.041984733
1.233587786,0.043358779
1.248854962,0.045801527
1.258015267,0.048549618
1.270229008,0.050229008
1.279389313,0.051603053
1.300763359,0.054045802
1.316030534,0.055877863
1.322137405,0.056946565
1.334351145,0.058167939
1.361832061,0.060610687
1.374045802,0.06259542
1.395419847,0.064274809
1.401526718,0.065648855
1.419847328,0.067480916
1.441221374,0.069923664
1.453435115,0.071145038
1.47480916,0.073435115
1.483969466,0.075572519
1.493129771,0.076946565
1.517557252,0.079847328
1.541984733,0.08259542
1.551145038,0.084427481
1.569465649,0.086564885
1.584732824,0.089770992
1.60610687,0.092977099
1.621374046,0.09648855
1.639694656,0.099694656
