uw/u2*,zf/u* Nieuwstadt
-0.944560358,0.003167421
-0.940983607,0.005279035
-0.939195231,0.001055807
-0.915946349,0.010558069
-0.908792846,0.013197587
-0.88733234,0.003695324
-0.885543964,0.016892911
-0.876602086,0.019004525
-0.864083458,0.022699849
-0.858718331,0.005806938
-0.846199702,0.02586727
-0.82295082,0.030618401
-0.814008942,0.033257919
-0.796125186,0.035897436
-0.785394933,0.008974359
-0.776453055,0.03959276
-0.744262295,0.045927602
-0.729955291,0.012669683
-0.724590164,0.05015083
-0.701341282,0.055429864
-0.694187779,0.013197587
-0.678092399,0.061764706
-0.66557377,0.06546003
-0.663785395,0.016365008
-0.642324888,0.071266968
-0.629806259,0.016365008
-0.622652757,0.076546003
-0.610134128,0.079713424
-0.597615499,0.016365008
-0.590461997,0.016892911
-0.583308495,0.084992459
-0.574366617,0.08974359
-0.56900149,0.017948718
-0.554694486,0.093966817
-0.542175857,0.098190045
-0.53681073,0.019532428
-0.526080477,0.10188537
-0.508196721,0.109803922
-0.501043219,0.022171946
-0.486736215,0.116138763
-0.468852459,0.022699849
-0.468852459,0.124585219
-0.449180328,0.023755656
-0.442026826,0.130392157
-0.431296572,0.025339367
-0.425931446,0.137782805
-0.413412817,0.026923077
-0.402682563,0.02745098
-0.397317437,0.146229261
-0.390163934,0.149396682
-0.384798808,0.02745098
-0.372280179,0.15520362
-0.366915052,0.029562594
-0.35976155,0.160482655
-0.352608048,0.030618401
-0.349031297,0.031674208
-0.340089419,0.168401207
-0.325782414,0.179487179
-0.322205663,0.033257919
-0.307898659,0.033785822
-0.306110283,0.185822021
-0.291803279,0.192684766
-0.286438152,0.034841629
-0.275707899,0.199547511
-0.26318927,0.03800905
-0.259612519,0.209049774
-0.239940387,0.03959276
-0.234575261,0.217496229
-0.222056632,0.041176471
-0.216691505,0.228582202
-0.213114754,0.042760181
-0.200596125,0.236500754
-0.184500745,0.045399698
-0.180923994,0.249170437
-0.177347243,0.046983409
-0.173770492,0.044871795
-0.163040238,0.259728507
-0.155886736,0.05015083
-0.15052161,0.268174962
-0.138002981,0.276621418
-0.130849478,0.054374057
-0.123695976,0.286651584
-0.111177347,0.058597285
-0.111177347,0.293514329
-0.102235469,0.061236802
-0.100447094,0.300904977
-0.089716841,0.064404223
-0.089716841,0.306184012
-0.082563338,0.312518854
-0.078986587,0.069155354
-0.073621461,0.319381599
-0.066467958,0.074962293
-0.062891207,0.323604827
-0.05752608,0.082880845
-0.053949329,0.329939668
-0.045007452,0.338386124
-0.0414307,0.093966817
-0.039642325,0.343665158
-0.032488823,0.109803922
-0.030700447,0.34841629
-0.027123696,0.128808446
-0.019970194,0.14147813
-0.014605067,0.15520362
-0.007451565,0.175263952
-0.003874814,0.212217195
-0.003874814,0.201131222
-0.003874814,0.185822021
-0.002086438,0.222775264
-0.000298063,0.329939668
0.001490313,0.318325792
0.001490313,0.306184012
0.001490313,0.274509804
0.001490313,0.264479638
0.003278689,0.339969834
0.003278689,0.298793363
0.003278689,0.289291101
0.003278689,0.255505279
0.003278689,0.237028658
